Fecha Hora,Barra,Costo Marginal [USD/MWh]
2026-06-05 00:00:00,PMontt220,86.4
2026-06-05 00:00:00,Tarapaca220,86.2
2026-06-05 00:00:00,Quillota220,86.1
2026-06-05 00:00:00,PAzucar220,85.9
2026-06-05 00:00:00,Cardones220,84.6
2026-06-05 00:00:00,Atacama220_BP1,84.0
2026-06-05 00:00:00,Charrua220,83.7
2026-06-05 00:00:00,Crucero220,83.4
2026-06-05 01:00:00,Tarapaca220,92.6
2026-06-05 01:00:00,Atacama220_BP1,90.5
2026-06-05 01:00:00,Crucero220,88.4
2026-06-05 01:00:00,Cardones220,87.5
2026-06-05 01:00:00,PAzucar220,87.2
2026-06-05 01:00:00,PMontt220,86.5
2026-06-05 01:00:00,Quillota220,85.7
2026-06-05 01:00:00,Charrua220,83.0
2026-06-05 02:00:00,Tarapaca220,93.6
2026-06-05 02:00:00,Atacama220_BP1,91.4
2026-06-05 02:00:00,Crucero220,89.4
2026-06-05 02:00:00,Cardones220,87.7
2026-06-05 02:00:00,PAzucar220,86.9
2026-06-05 02:00:00,Quillota220,84.9
2026-06-05 02:00:00,PMontt220,84.1
2026-06-05 02:00:00,Charrua220,82.0
2026-06-05 03:00:00,Tarapaca220,93.3
2026-06-05 03:00:00,Atacama220_BP1,91.2
2026-06-05 03:00:00,Crucero220,89.3
2026-06-05 03:00:00,Cardones220,87.5
2026-06-05 03:00:00,PAzucar220,86.5
2026-06-05 03:00:00,Quillota220,84.4
2026-06-05 03:00:00,PMontt220,83.2
2026-06-05 03:00:00,Charrua220,81.7
2026-06-05 04:00:00,Tarapaca220,93.7
2026-06-05 04:00:00,Atacama220_BP1,91.5
2026-06-05 04:00:00,Crucero220,89.7
2026-06-05 04:00:00,Cardones220,87.9
2026-06-05 04:00:00,PAzucar220,87.0
2026-06-05 04:00:00,Quillota220,84.9
2026-06-05 04:00:00,PMontt220,83.6
2026-06-05 04:00:00,Charrua220,82.2
2026-06-05 05:00:00,Tarapaca220,92.0
2026-06-05 05:00:00,Atacama220_BP1,89.9
2026-06-05 05:00:00,Crucero220,88.0
2026-06-05 05:00:00,Cardones220,87.1
2026-06-05 05:00:00,PAzucar220,86.8
2026-06-05 05:00:00,Quillota220,85.1
2026-06-05 05:00:00,Charrua220,82.9
2026-06-05 05:00:00,PMontt220,82.1
2026-06-05 06:00:00,Tarapaca220,91.2
2026-06-05 06:00:00,Atacama220_BP1,89.1
2026-06-05 06:00:00,PAzucar220,87.1
2026-06-05 06:00:00,Crucero220,87.1
2026-06-05 06:00:00,Cardones220,86.9
2026-06-05 06:00:00,Quillota220,85.7
2026-06-05 06:00:00,PMontt220,84.0
2026-06-05 06:00:00,Charrua220,84.0
2026-06-05 07:00:00,PMontt220,96.5
2026-06-05 07:00:00,PAzucar220,90.5
2026-06-05 07:00:00,Quillota220,90.1
2026-06-05 07:00:00,Charrua220,89.2
2026-06-05 07:00:00,Atacama220_BP1,89.2
2026-06-05 07:00:00,Cardones220,89.0
2026-06-05 07:00:00,Tarapaca220,88.9
2026-06-05 07:00:00,Crucero220,86.8
2026-06-05 08:00:00,PMontt220,92.2
2026-06-05 08:00:00,Quillota220,85.7
2026-06-05 08:00:00,Charrua220,85.3
2026-06-05 08:00:00,PAzucar220,84.8
2026-06-05 08:00:00,Cardones220,82.6
2026-06-05 08:00:00,Atacama220_BP1,81.3
2026-06-05 08:00:00,Tarapaca220,80.0
2026-06-05 08:00:00,Crucero220,78.9
2026-06-05 09:00:00,PMontt220,99.6
2026-06-05 09:00:00,Charrua220,88.1
2026-06-05 09:00:00,Quillota220,83.9
2026-06-05 09:00:00,PAzucar220,65.9
2026-06-05 09:00:00,Cardones220,59.8
2026-06-05 09:00:00,Atacama220_BP1,56.7
2026-06-05 09:00:00,Tarapaca220,56.2
2026-06-05 09:00:00,Crucero220,55.0
2026-06-05 10:00:00,PMontt220,89.5
2026-06-05 10:00:00,Charrua220,76.0
2026-06-05 10:00:00,Quillota220,72.6
2026-06-05 10:00:00,PAzucar220,59.8
2026-06-05 10:00:00,Tarapaca220,57.0
2026-06-05 10:00:00,Cardones220,54.8
2026-06-05 10:00:00,Atacama220_BP1,54.1
2026-06-05 10:00:00,Crucero220,53.1
2026-06-05 11:00:00,PMontt220,110.1
2026-06-05 11:00:00,Charrua220,76.0
2026-06-05 11:00:00,Quillota220,72.7
2026-06-05 11:00:00,PAzucar220,59.7
2026-06-05 11:00:00,Tarapaca220,56.0
2026-06-05 11:00:00,Cardones220,54.6
2026-06-05 11:00:00,Atacama220_BP1,53.4
2026-06-05 11:00:00,Crucero220,52.6
2026-06-05 12:00:00,PMontt220,108.1
2026-06-05 12:00:00,Charrua220,94.9
2026-06-05 12:00:00,Quillota220,88.7
2026-06-05 12:00:00,PAzucar220,61.8
2026-06-05 12:00:00,Tarapaca220,55.9
2026-06-05 12:00:00,Cardones220,54.8
2026-06-05 12:00:00,Atacama220_BP1,53.2
2026-06-05 12:00:00,Crucero220,52.4
2026-06-05 13:00:00,PMontt220,99.2
2026-06-05 13:00:00,Charrua220,76.3
2026-06-05 13:00:00,Quillota220,72.8
2026-06-05 13:00:00,PAzucar220,59.9
2026-06-05 13:00:00,Tarapaca220,55.3
2026-06-05 13:00:00,Cardones220,54.8
2026-06-05 13:00:00,Atacama220_BP1,52.8
2026-06-05 13:00:00,Crucero220,51.8
2026-06-05 14:00:00,PMontt220,87.4
2026-06-05 14:00:00,Charrua220,76.1
2026-06-05 14:00:00,Quillota220,72.6
2026-06-05 14:00:00,PAzucar220,59.7
2026-06-05 14:00:00,Cardones220,54.6
2026-06-05 14:00:00,Tarapaca220,53.3
2026-06-05 14:00:00,Atacama220_BP1,52.1
2026-06-05 14:00:00,Crucero220,51.0
2026-06-05 15:00:00,PMontt220,83.9
2026-06-05 15:00:00,Charrua220,73.6
2026-06-05 15:00:00,Quillota220,70.5
2026-06-05 15:00:00,PAzucar220,59.5
2026-06-05 15:00:00,Cardones220,54.6
2026-06-05 15:00:00,Atacama220_BP1,52.3
2026-06-05 15:00:00,Tarapaca220,52.0
2026-06-05 15:00:00,Crucero220,51.1
2026-06-05 16:00:00,PMontt220,80.4
2026-06-05 16:00:00,Charrua220,70.2
2026-06-05 16:00:00,Quillota220,68.4
2026-06-05 16:00:00,PAzucar220,58.9
2026-06-05 16:00:00,Cardones220,54.1
2026-06-05 16:00:00,Atacama220_BP1,50.9
2026-06-05 16:00:00,Crucero220,49.8
2026-06-05 16:00:00,Tarapaca220,49.4
2026-06-05 17:00:00,PMontt220,76.2
2026-06-05 17:00:00,Quillota220,70.0
2026-06-05 17:00:00,Charrua220,69.7
2026-06-05 17:00:00,PAzucar220,68.6
2026-06-05 17:00:00,Cardones220,66.2
2026-06-05 17:00:00,Atacama220_BP1,64.7
2026-06-05 17:00:00,Tarapaca220,63.9
2026-06-05 17:00:00,Crucero220,63.0
2026-06-05 18:00:00,PMontt220,87.5
2026-06-05 18:00:00,Quillota220,81.1
2026-06-05 18:00:00,Charrua220,80.5
2026-06-05 18:00:00,PAzucar220,79.3
2026-06-05 18:00:00,Cardones220,76.2
2026-06-05 18:00:00,Atacama220_BP1,74.1
2026-06-05 18:00:00,Tarapaca220,72.6
2026-06-05 18:00:00,Crucero220,72.1
2026-06-05 19:00:00,PMontt220,87.8
2026-06-05 19:00:00,Charrua220,81.4
2026-06-05 19:00:00,Quillota220,81.1
2026-06-05 19:00:00,PAzucar220,79.0
2026-06-05 19:00:00,Cardones220,75.4
2026-06-05 19:00:00,Atacama220_BP1,72.9
2026-06-05 19:00:00,Tarapaca220,71.1
2026-06-05 19:00:00,Crucero220,70.7
2026-06-05 20:00:00,PMontt220,88.2
2026-06-05 20:00:00,Charrua220,81.6
2026-06-05 20:00:00,Quillota220,81.3
2026-06-05 20:00:00,PAzucar220,79.7
2026-06-05 20:00:00,Cardones220,76.6
2026-06-05 20:00:00,Atacama220_BP1,74.5
2026-06-05 20:00:00,Tarapaca220,74.5
2026-06-05 20:00:00,Crucero220,72.4
2026-06-05 21:00:00,PMontt220,86.5
2026-06-05 21:00:00,Quillota220,81.1
2026-06-05 21:00:00,Charrua220,80.8
2026-06-05 21:00:00,PAzucar220,79.5
2026-06-05 21:00:00,Cardones220,76.4
2026-06-05 21:00:00,Atacama220_BP1,74.7
2026-06-05 21:00:00,Tarapaca220,72.3
2026-06-05 21:00:00,Crucero220,72.2
2026-06-05 22:00:00,PMontt220,86.5
2026-06-05 22:00:00,Quillota220,81.4
2026-06-05 22:00:00,Charrua220,81.1
2026-06-05 22:00:00,PAzucar220,79.8
2026-06-05 22:00:00,Cardones220,76.8
2026-06-05 22:00:00,Atacama220_BP1,75.9
2026-06-05 22:00:00,Tarapaca220,74.4
2026-06-05 22:00:00,Crucero220,73.4
2026-06-05 23:00:00,PMontt220,82.2
2026-06-05 23:00:00,Quillota220,77.1
2026-06-05 23:00:00,PAzucar220,76.8
2026-06-05 23:00:00,Charrua220,76.1
2026-06-05 23:00:00,Tarapaca220,75.6
2026-06-05 23:00:00,Atacama220_BP1,75.4
2026-06-05 23:00:00,Cardones220,75.1
2026-06-05 23:00:00,Crucero220,73.1
2026-06-06 00:00:00,Atacama220_BP1,74.6
2026-06-06 00:00:00,Tarapaca220,73.0
2026-06-06 00:00:00,Crucero220,72.9
2026-06-06 00:00:00,Cardones220,72.2
2026-06-06 00:00:00,PAzucar220,72.1
2026-06-06 00:00:00,PMontt220,71.2
2026-06-06 00:00:00,Quillota220,70.9
2026-06-06 00:00:00,Charrua220,68.3
2026-06-06 01:00:00,Tarapaca220,74.1
2026-06-06 01:00:00,Atacama220_BP1,72.6
2026-06-06 01:00:00,Crucero220,71.1
2026-06-06 01:00:00,Cardones220,69.3
2026-06-06 01:00:00,PAzucar220,68.7
2026-06-06 01:00:00,Quillota220,67.1
2026-06-06 01:00:00,PMontt220,66.2
2026-06-06 01:00:00,Charrua220,64.1
2026-06-06 02:00:00,Tarapaca220,74.1
2026-06-06 02:00:00,Atacama220_BP1,72.0
2026-06-06 02:00:00,Crucero220,70.6
2026-06-06 02:00:00,Cardones220,68.7
2026-06-06 02:00:00,PAzucar220,68.1
2026-06-06 02:00:00,Quillota220,66.4
2026-06-06 02:00:00,PMontt220,64.9
2026-06-06 02:00:00,Charrua220,63.9
2026-06-06 03:00:00,Tarapaca220,73.8
2026-06-06 03:00:00,Atacama220_BP1,71.7
2026-06-06 03:00:00,Crucero220,70.3
2026-06-06 03:00:00,Cardones220,68.6
2026-06-06 03:00:00,PAzucar220,68.0
2026-06-06 03:00:00,Quillota220,66.4
2026-06-06 03:00:00,PMontt220,64.6
2026-06-06 03:00:00,Charrua220,64.1
2026-06-06 04:00:00,Tarapaca220,74.0
2026-06-06 04:00:00,Atacama220_BP1,71.9
2026-06-06 04:00:00,Crucero220,70.6
2026-06-06 04:00:00,Cardones220,68.7
2026-06-06 04:00:00,PAzucar220,68.0
2026-06-06 04:00:00,Quillota220,66.4
2026-06-06 04:00:00,PMontt220,64.8
2026-06-06 04:00:00,Charrua220,64.4
2026-06-06 05:00:00,Tarapaca220,74.0
2026-06-06 05:00:00,Atacama220_BP1,71.9
2026-06-06 05:00:00,Crucero220,70.6
2026-06-06 05:00:00,Cardones220,68.7
2026-06-06 05:00:00,PAzucar220,68.0
2026-06-06 05:00:00,Quillota220,66.4
2026-06-06 05:00:00,PMontt220,64.8
2026-06-06 05:00:00,Charrua220,64.4
2026-06-06 06:00:00,Tarapaca220,74.5
2026-06-06 06:00:00,Atacama220_BP1,72.5
2026-06-06 06:00:00,Crucero220,71.1
2026-06-06 06:00:00,Cardones220,69.1
2026-06-06 06:00:00,PAzucar220,68.2
2026-06-06 06:00:00,Quillota220,66.4
2026-06-06 06:00:00,PMontt220,65.5
2026-06-06 06:00:00,Charrua220,64.6
2026-06-06 07:00:00,Tarapaca220,69.3
2026-06-06 07:00:00,Atacama220_BP1,68.2
2026-06-06 07:00:00,Crucero220,66.8
2026-06-06 07:00:00,Cardones220,65.7
2026-06-06 07:00:00,PAzucar220,65.3
2026-06-06 07:00:00,PMontt220,64.7
2026-06-06 07:00:00,Quillota220,64.2
2026-06-06 07:00:00,Charrua220,62.7
2026-06-06 08:00:00,PMontt220,65.6
2026-06-06 08:00:00,Charrua220,59.3
2026-06-06 08:00:00,Quillota220,58.1
2026-06-06 08:00:00,PAzucar220,54.5
2026-06-06 08:00:00,Cardones220,50.9
