Fecha Hora,Barra,Costo Marginal [USD/MWh]
2026-02-14 00:00:00.000000,PMontt220,71.5
2026-02-14 00:00:00.000000,Tarapaca220,69.4
2026-02-14 00:00:00.000000,Atacama220_BP1,68.7
2026-02-14 00:00:00.000000,Crucero220,67.7
2026-02-14 00:00:00.000000,Cardones220,66.1
2026-02-14 00:00:00.000000,PAzucar220,64.5
2026-02-14 00:00:00.000000,Quillota220,63.7
2026-02-14 00:00:00.000000,Charrua220,61.6
2026-02-14 01:00:00.000000,PMontt220,72.2
2026-02-14 01:00:00.000000,Tarapaca220,69.2
2026-02-14 01:00:00.000000,Atacama220_BP1,68.6
2026-02-14 01:00:00.000000,Crucero220,67.5
2026-02-14 01:00:00.000000,Cardones220,66.2
2026-02-14 01:00:00.000000,PAzucar220,64.6
2026-02-14 01:00:00.000000,Quillota220,63.7
2026-02-14 01:00:00.000000,Charrua220,62.0
2026-02-14 02:00:00.000000,PMontt220,71.4
2026-02-14 02:00:00.000000,Tarapaca220,69.5
2026-02-14 02:00:00.000000,Atacama220_BP1,68.6
2026-02-14 02:00:00.000000,Crucero220,67.9
2026-02-14 02:00:00.000000,Cardones220,66.0
2026-02-14 02:00:00.000000,PAzucar220,64.3
2026-02-14 02:00:00.000000,Quillota220,63.0
2026-02-14 02:00:00.000000,Charrua220,61.0
2026-02-14 03:00:00.000000,PMontt220,71.7
2026-02-14 03:00:00.000000,Tarapaca220,69.9
2026-02-14 03:00:00.000000,Atacama220_BP1,69.1
2026-02-14 03:00:00.000000,Crucero220,68.4
2026-02-14 03:00:00.000000,Cardones220,66.5
2026-02-14 03:00:00.000000,PAzucar220,64.9
2026-02-14 03:00:00.000000,Quillota220,63.3
2026-02-14 03:00:00.000000,Charrua220,61.5
2026-02-14 04:00:00.000000,PMontt220,71.6
2026-02-14 04:00:00.000000,Tarapaca220,68.9
2026-02-14 04:00:00.000000,Atacama220_BP1,67.8
2026-02-14 04:00:00.000000,Crucero220,67.2
2026-02-14 04:00:00.000000,Cardones220,66.0
2026-02-14 04:00:00.000000,PAzucar220,64.8
2026-02-14 04:00:00.000000,Quillota220,63.5
2026-02-14 04:00:00.000000,Charrua220,62.1
2026-02-14 05:00:00.000000,PMontt220,71.0
2026-02-14 05:00:00.000000,Tarapaca220,70.4
2026-02-14 05:00:00.000000,Atacama220_BP1,68.1
2026-02-14 05:00:00.000000,Crucero220,67.4
2026-02-14 05:00:00.000000,Cardones220,66.3
2026-02-14 05:00:00.000000,PAzucar220,65.0
2026-02-14 05:00:00.000000,Quillota220,63.3
2026-02-14 05:00:00.000000,Charrua220,61.6
2026-02-14 06:00:00.000000,PMontt220,71.4
2026-02-14 06:00:00.000000,Tarapaca220,68.8
2026-02-14 06:00:00.000000,Atacama220_BP1,68.1
2026-02-14 06:00:00.000000,Crucero220,67.4
2026-02-14 06:00:00.000000,Cardones220,66.3
2026-02-14 06:00:00.000000,PAzucar220,65.3
2026-02-14 06:00:00.000000,Quillota220,63.6
2026-02-14 06:00:00.000000,Charrua220,62.0
2026-02-14 07:00:00.000000,PMontt220,71.0
2026-02-14 07:00:00.000000,Tarapaca220,70.3
2026-02-14 07:00:00.000000,Atacama220_BP1,68.1
2026-02-14 07:00:00.000000,Crucero220,67.5
2026-02-14 07:00:00.000000,Cardones220,66.1
2026-02-14 07:00:00.000000,PAzucar220,65.1
2026-02-14 07:00:00.000000,Quillota220,63.5
2026-02-14 07:00:00.000000,Charrua220,62.1
2026-02-14 08:00:00.000000,PMontt220,54.8
2026-02-14 08:00:00.000000,Quillota220,46.7
2026-02-14 08:00:00.000000,Charrua220,46.6
2026-02-14 08:00:00.000000,PAzucar220,45.8
2026-02-14 08:00:00.000000,Atacama220_BP1,45.7
2026-02-14 08:00:00.000000,Tarapaca220,45.5
2026-02-14 08:00:00.000000,Cardones220,45.0
2026-02-14 08:00:00.000000,Crucero220,44.9
2026-02-14 09:00:00.000000,PMontt220,27.8
2026-02-14 09:00:00.000000,Quillota220,23.6
2026-02-14 09:00:00.000000,Charrua220,23.2
2026-02-14 09:00:00.000000,PAzucar220,21.3
2026-02-14 09:00:00.000000,Cardones220,19.7
