Fecha Hora,Barra,Costo Marginal [USD/MWh]
2026-05-11 00:00:00,Tarapaca220,64.0
2026-05-11 00:00:00,Crucero220,61.8
2026-05-11 00:00:00,Atacama220_BP1,61.8
2026-05-11 00:00:00,PAzucar220,61.7
2026-05-11 00:00:00,Cardones220,61.6
2026-05-11 00:00:00,Quillota220,61.4
2026-05-11 00:00:00,Charrua220,58.7
2026-05-11 00:00:00,PMontt220,13.1
2026-05-11 01:00:00,Tarapaca220,65.6
2026-05-11 01:00:00,Crucero220,63.1
2026-05-11 01:00:00,Atacama220_BP1,62.9
2026-05-11 01:00:00,Cardones220,62.4
2026-05-11 01:00:00,PAzucar220,62.2
2026-05-11 01:00:00,Quillota220,61.4
2026-05-11 01:00:00,Charrua220,58.6
2026-05-11 01:00:00,PMontt220,13.1
2026-05-11 02:00:00,Tarapaca220,66.2
2026-05-11 02:00:00,Crucero220,63.2
2026-05-11 02:00:00,Atacama220_BP1,63.0
2026-05-11 02:00:00,Cardones220,62.6
2026-05-11 02:00:00,PAzucar220,62.3
2026-05-11 02:00:00,Quillota220,61.5
2026-05-11 02:00:00,Charrua220,58.8
2026-05-11 02:00:00,PMontt220,24.2
2026-05-11 03:00:00,Tarapaca220,66.3
2026-05-11 03:00:00,Crucero220,63.3
2026-05-11 03:00:00,Atacama220_BP1,63.1
2026-05-11 03:00:00,Cardones220,62.7
2026-05-11 03:00:00,PAzucar220,62.3
2026-05-11 03:00:00,Quillota220,61.5
2026-05-11 03:00:00,Charrua220,58.9
2026-05-11 03:00:00,PMontt220,12.0
2026-05-11 04:00:00,Tarapaca220,66.6
2026-05-11 04:00:00,Crucero220,63.6
2026-05-11 04:00:00,Atacama220_BP1,63.4
2026-05-11 04:00:00,Cardones220,62.8
2026-05-11 04:00:00,PAzucar220,62.3
2026-05-11 04:00:00,Quillota220,61.4
2026-05-11 04:00:00,Charrua220,58.8
2026-05-11 04:00:00,PMontt220,11.7
2026-05-11 05:00:00,Tarapaca220,65.2
2026-05-11 05:00:00,Crucero220,62.2
2026-05-11 05:00:00,Atacama220_BP1,62.0
2026-05-11 05:00:00,Cardones220,62.0
2026-05-11 05:00:00,PAzucar220,61.9
2026-05-11 05:00:00,Quillota220,61.4
2026-05-11 05:00:00,Charrua220,58.8
2026-05-11 05:00:00,PMontt220,24.5
2026-05-11 06:00:00,Quillota220,61.4
2026-05-11 06:00:00,PAzucar220,61.1
2026-05-11 06:00:00,Tarapaca220,60.6
2026-05-11 06:00:00,Cardones220,60.4
2026-05-11 06:00:00,Crucero220,59.6
2026-05-11 06:00:00,Atacama220_BP1,59.5
2026-05-11 06:00:00,Charrua220,59.3
2026-05-11 06:00:00,PMontt220,27.2
2026-05-11 07:00:00,Quillota220,61.5
2026-05-11 07:00:00,Charrua220,60.2
2026-05-11 07:00:00,PAzucar220,59.6
2026-05-11 07:00:00,Cardones220,57.3
2026-05-11 07:00:00,Tarapaca220,55.2
2026-05-11 07:00:00,Atacama220_BP1,54.7
2026-05-11 07:00:00,Crucero220,54.5
2026-05-11 07:00:00,PMontt220,26.1
2026-05-11 08:00:00,PMontt220,53.5
2026-05-11 08:00:00,Quillota220,51.8
2026-05-11 08:00:00,Charrua220,51.3
2026-05-11 08:00:00,PAzucar220,48.0
2026-05-11 08:00:00,Cardones220,44.6
2026-05-11 08:00:00,Atacama220_BP1,43.1
2026-05-11 08:00:00,Crucero220,41.7
2026-05-11 08:00:00,Tarapaca220,41.3
2026-05-11 09:00:00,PMontt220,36.0
2026-05-11 09:00:00,Charrua220,31.5
2026-05-11 09:00:00,Quillota220,31.0
2026-05-11 09:00:00,PAzucar220,25.6
