Fecha Hora,Barra,Costo Marginal [USD/MWh]
2026-05-01 00:00:00,Tarapaca220,81.6
2026-05-01 00:00:00,Crucero220,79.8
2026-05-01 00:00:00,Cardones220,79.1
2026-05-01 00:00:00,Atacama220_BP1,78.8
2026-05-01 00:00:00,PAzucar220,78.8
2026-05-01 00:00:00,Quillota220,77.2
2026-05-01 00:00:00,Charrua220,76.3
2026-05-01 00:00:00,PMontt220,71.5
2026-05-01 01:00:00,Tarapaca220,73.5
2026-05-01 01:00:00,Crucero220,71.4
2026-05-01 01:00:00,Atacama220_BP1,70.5
2026-05-01 01:00:00,Cardones220,70.4
2026-05-01 01:00:00,PAzucar220,69.9
2026-05-01 01:00:00,Quillota220,68.3
2026-05-01 01:00:00,Charrua220,67.6
2026-05-01 01:00:00,PMontt220,61.4
2026-05-01 02:00:00,Tarapaca220,78.8
2026-05-01 02:00:00,Crucero220,77.3
2026-05-01 02:00:00,Atacama220_BP1,76.3
2026-05-01 02:00:00,Cardones220,75.2
2026-05-01 02:00:00,PAzucar220,57.7
2026-05-01 02:00:00,Quillota220,56.5
2026-05-01 02:00:00,Charrua220,56.4
2026-05-01 02:00:00,PMontt220,50.8
2026-05-01 03:00:00,Tarapaca220,65.3
2026-05-01 03:00:00,Crucero220,62.2
2026-05-01 03:00:00,Atacama220_BP1,61.5
2026-05-01 03:00:00,Cardones220,61.4
2026-05-01 03:00:00,PAzucar220,61.0
2026-05-01 03:00:00,Quillota220,59.8
2026-05-01 03:00:00,Charrua220,59.3
2026-05-01 03:00:00,PMontt220,53.8
2026-05-01 04:00:00,Tarapaca220,65.4
2026-05-01 04:00:00,Crucero220,62.3
2026-05-01 04:00:00,Atacama220_BP1,61.8
2026-05-01 04:00:00,Cardones220,61.4
2026-05-01 04:00:00,PAzucar220,61.0
2026-05-01 04:00:00,Quillota220,59.8
2026-05-01 04:00:00,Charrua220,59.3
2026-05-01 04:00:00,PMontt220,53.7
2026-05-01 05:00:00,Tarapaca220,68.0
2026-05-01 05:00:00,Crucero220,64.8
2026-05-01 05:00:00,Atacama220_BP1,64.7
2026-05-01 05:00:00,Cardones220,63.6
2026-05-01 05:00:00,PAzucar220,63.0
2026-05-01 05:00:00,Quillota220,61.8
2026-05-01 05:00:00,Charrua220,61.2
2026-05-01 05:00:00,PMontt220,54.8
2026-05-01 06:00:00,Tarapaca220,67.7
2026-05-01 06:00:00,Crucero220,64.5
2026-05-01 06:00:00,Atacama220_BP1,64.4
2026-05-01 06:00:00,Cardones220,62.9
2026-05-01 06:00:00,PAzucar220,62.0
2026-05-01 06:00:00,Quillota220,60.3
2026-05-01 06:00:00,Charrua220,59.8
2026-05-01 06:00:00,PMontt220,54.6
2026-05-01 07:00:00,Tarapaca220,72.3
2026-05-01 07:00:00,Atacama220_BP1,70.1
2026-05-01 07:00:00,Crucero220,69.8
2026-05-01 07:00:00,Cardones220,69.1
2026-05-01 07:00:00,PAzucar220,68.9
2026-05-01 07:00:00,Quillota220,68.1
2026-05-01 07:00:00,Charrua220,68.0
2026-05-01 07:00:00,PMontt220,66.3
2026-05-01 08:00:00,PMontt220,29.7
2026-05-01 08:00:00,Charrua220,28.9
2026-05-01 08:00:00,Quillota220,28.4
2026-05-01 08:00:00,PAzucar220,26.7
2026-05-01 08:00:00,Cardones220,25.2
2026-05-01 08:00:00,Atacama220_BP1,24.4
2026-05-01 08:00:00,Crucero220,23.9
2026-05-01 08:00:00,Tarapaca220,23.9
2026-05-01 09:00:00,PMontt220,17.2
2026-05-01 09:00:00,Charrua220,15.4
2026-05-01 09:00:00,Quillota220,15.0
2026-05-01 09:00:00,PAzucar220,14.0
2026-05-01 09:00:00,Cardones220,13.1
2026-05-01 09:00:00,Atacama220_BP1,12.7
2026-05-01 09:00:00,Crucero220,12.5
2026-05-01 09:00:00,Tarapaca220,12.4
2026-05-01 10:00:00,PMontt220,16.5
2026-05-01 10:00:00,Charrua220,14.5
2026-05-01 10:00:00,Quillota220,14.2
2026-05-01 10:00:00,PAzucar220,13.3
2026-05-01 10:00:00,Tarapaca220,12.8
2026-05-01 10:00:00,Cardones220,12.6
2026-05-01 10:00:00,Atacama220_BP1,12.5
2026-05-01 10:00:00,Crucero220,12.5
2026-05-01 11:00:00,PMontt220,16.6
