Fecha Hora,Barra,Costo Marginal [USD/MWh]
2025-11-25 00:00:00.000000,Tarapaca220,127.5
2025-11-25 00:00:00.000000,PMontt220,124.5
2025-11-25 00:00:00.000000,Quillota220,123.9
2025-11-25 00:00:00.000000,PAzucar220,122.0
2025-11-25 00:00:00.000000,Cardones220,121.2
2025-11-25 00:00:00.000000,Crucero220,119.7
2025-11-25 00:00:00.000000,Charrua220,118.8
2025-11-25 00:00:00.000000,Atacama220_BP1,116.7
2025-11-25 01:00:00.000000,Tarapaca220,129.6
2025-11-25 01:00:00.000000,Quillota220,122.6
2025-11-25 01:00:00.000000,Cardones220,121.9
2025-11-25 01:00:00.000000,PAzucar220,121.9
2025-11-25 01:00:00.000000,Crucero220,121.7
2025-11-25 01:00:00.000000,PMontt220,120.8
2025-11-25 01:00:00.000000,Atacama220_BP1,118.7
2025-11-25 01:00:00.000000,Charrua220,117.3
2025-11-25 02:00:00.000000,Tarapaca220,130.8
2025-11-25 02:00:00.000000,Crucero220,123.0
2025-11-25 02:00:00.000000,Cardones220,122.7
2025-11-25 02:00:00.000000,Quillota220,122.6
2025-11-25 02:00:00.000000,PAzucar220,122.3
2025-11-25 02:00:00.000000,PMontt220,120.3
2025-11-25 02:00:00.000000,Atacama220_BP1,120.0
2025-11-25 02:00:00.000000,Charrua220,117.4
2025-11-25 03:00:00.000000,Tarapaca220,127.5
2025-11-25 03:00:00.000000,Crucero220,120.0
2025-11-25 03:00:00.000000,Quillota220,119.9
2025-11-25 03:00:00.000000,Cardones220,119.8
2025-11-25 03:00:00.000000,PAzucar220,119.6
2025-11-25 03:00:00.000000,PMontt220,117.6
2025-11-25 03:00:00.000000,Atacama220_BP1,117.0
2025-11-25 03:00:00.000000,Charrua220,115.4
2025-11-25 04:00:00.000000,Tarapaca220,121.2
2025-11-25 04:00:00.000000,Quillota220,115.0
2025-11-25 04:00:00.000000,PAzucar220,114.3
2025-11-25 04:00:00.000000,Cardones220,114.1
2025-11-25 04:00:00.000000,Crucero220,113.9
2025-11-25 04:00:00.000000,PMontt220,113.6
2025-11-25 04:00:00.000000,Atacama220_BP1,111.2
2025-11-25 04:00:00.000000,Charrua220,111.1
2025-11-25 05:00:00.000000,Tarapaca220,122.5
2025-11-25 05:00:00.000000,Quillota220,117.8
2025-11-25 05:00:00.000000,PMontt220,117.5
2025-11-25 05:00:00.000000,PAzucar220,116.5
2025-11-25 05:00:00.000000,Cardones220,115.9
2025-11-25 05:00:00.000000,Crucero220,115.2
2025-11-25 05:00:00.000000,Charrua220,113.9
2025-11-25 05:00:00.000000,Atacama220_BP1,112.4
2025-11-25 06:00:00.000000,PMontt220,123.3
2025-11-25 06:00:00.000000,Tarapaca220,122.3
2025-11-25 06:00:00.000000,Quillota220,119.8
2025-11-25 06:00:00.000000,PAzucar220,117.8
2025-11-25 06:00:00.000000,Cardones220,116.6
2025-11-25 06:00:00.000000,Charrua220,116.1
2025-11-25 06:00:00.000000,Crucero220,114.8
2025-11-25 06:00:00.000000,Atacama220_BP1,112.1
2025-11-25 07:00:00.000000,PMontt220,78.4
2025-11-25 07:00:00.000000,Quillota220,68.6
2025-11-25 07:00:00.000000,Charrua220,67.3
2025-11-25 07:00:00.000000,PAzucar220,65.3
2025-11-25 07:00:00.000000,Tarapaca220,64.4
2025-11-25 07:00:00.000000,Cardones220,63.1
2025-11-25 07:00:00.000000,Atacama220_BP1,62.4
2025-11-25 07:00:00.000000,Crucero220,61.3
2025-11-25 08:00:00.000000,PMontt220,59.5
2025-11-25 08:00:00.000000,Charrua220,22.2
2025-11-25 08:00:00.000000,Quillota220,21.9
2025-11-25 08:00:00.000000,PAzucar220,13.7
2025-11-25 08:00:00.000000,Atacama220_BP1,13.5
2025-11-25 08:00:00.000000,Tarapaca220,12.5
2025-11-25 08:00:00.000000,Crucero220,12.4
2025-11-25 08:00:00.000000,Cardones220,12.3
2025-11-25 09:00:00.000000,PMontt220,122.4
2025-11-25 09:00:00.000000,Charrua220,10.7
2025-11-25 09:00:00.000000,Quillota220,10.0
2025-11-25 09:00:00.000000,PAzucar220,0.6
2025-11-25 09:00:00.000000,Atacama220_BP1,0.0
2025-11-25 09:00:00.000000,Cardones220,0.0
2025-11-25 09:00:00.000000,Crucero220,0.0
2025-11-25 09:00:00.000000,Tarapaca220,0.0
2025-11-25 10:00:00.000000,PMontt220,69.6
2025-11-25 10:00:00.000000,Charrua220,9.8
2025-11-25 10:00:00.000000,Quillota220,9.1
2025-11-25 10:00:00.000000,PAzucar220,0.6
2025-11-25 10:00:00.000000,Atacama220_BP1,0.0
2025-11-25 10:00:00.000000,Cardones220,0.0
2025-11-25 10:00:00.000000,Crucero220,0.0
2025-11-25 10:00:00.000000,Tarapaca220,0.0
2025-11-25 11:00:00.000000,PMontt220,69.8
2025-11-25 11:00:00.000000,Charrua220,7.7
2025-11-25 11:00:00.000000,Quillota220,7.2
2025-11-25 11:00:00.000000,PAzucar220,0.4
2025-11-25 11:00:00.000000,Atacama220_BP1,0.0
2025-11-25 11:00:00.000000,Cardones220,0.0
2025-11-25 11:00:00.000000,Crucero220,0.0
2025-11-25 11:00:00.000000,Tarapaca220,0.0
2025-11-25 12:00:00.000000,PMontt220,69.7
2025-11-25 12:00:00.000000,Charrua220,7.7
2025-11-25 12:00:00.000000,Quillota220,7.2
2025-11-25 12:00:00.000000,PAzucar220,0.4
2025-11-25 12:00:00.000000,Atacama220_BP1,0.0
2025-11-25 12:00:00.000000,Cardones220,0.0
2025-11-25 12:00:00.000000,Crucero220,0.0
2025-11-25 12:00:00.000000,Tarapaca220,0.0
2025-11-25 13:00:00.000000,PMontt220,69.9
2025-11-25 13:00:00.000000,Charrua220,19.2
2025-11-25 13:00:00.000000,Quillota220,17.8
2025-11-25 13:00:00.000000,PAzucar220,1.2
2025-11-25 13:00:00.000000,Atacama220_BP1,0.0
2025-11-25 13:00:00.000000,Cardones220,0.0
2025-11-25 13:00:00.000000,Crucero220,0.0
2025-11-25 13:00:00.000000,Tarapaca220,0.0
2025-11-25 14:00:00.000000,PMontt220,69.6
2025-11-25 14:00:00.000000,Charrua220,23.6
2025-11-25 14:00:00.000000,Quillota220,21.9
2025-11-25 14:00:00.000000,PAzucar220,1.6
2025-11-25 14:00:00.000000,Atacama220_BP1,0.0
2025-11-25 14:00:00.000000,Cardones220,0.0
2025-11-25 14:00:00.000000,Crucero220,0.0
2025-11-25 14:00:00.000000,Tarapaca220,0.0
2025-11-25 15:00:00.000000,PMontt220,69.8
2025-11-25 15:00:00.000000,Charrua220,18.9
2025-11-25 15:00:00.000000,Quillota220,17.5
2025-11-25 15:00:00.000000,PAzucar220,1.2
2025-11-25 15:00:00.000000,Atacama220_BP1,0.0
2025-11-25 15:00:00.000000,Cardones220,0.0
2025-11-25 15:00:00.000000,Crucero220,0.0
2025-11-25 15:00:00.000000,Tarapaca220,0.0
2025-11-25 16:00:00.000000,PMontt220,69.4
2025-11-25 16:00:00.000000,Charrua220,16.5
2025-11-25 16:00:00.000000,Quillota220,15.3
2025-11-25 16:00:00.000000,PAzucar220,1.1
2025-11-25 16:00:00.000000,Atacama220_BP1,0.0
2025-11-25 16:00:00.000000,Cardones220,0.0
2025-11-25 16:00:00.000000,Crucero220,0.0
2025-11-25 16:00:00.000000,Tarapaca220,0.0
