Fecha Hora,Barra,Costo Marginal [USD/MWh]
2026-01-02 00:00:00.000000,Tarapaca220,62.0
2026-01-02 00:00:00.000000,Crucero220,59.5
2026-01-02 00:00:00.000000,Atacama220_BP1,59.2
2026-01-02 00:00:00.000000,Cardones220,58.3
2026-01-02 00:00:00.000000,PAzucar220,57.3
2026-01-02 00:00:00.000000,Quillota220,56.1
2026-01-02 00:00:00.000000,Charrua220,53.7
2026-01-02 00:00:00.000000,PMontt220,6.5
2026-01-02 01:00:00.000000,Tarapaca220,63.6
2026-01-02 01:00:00.000000,Crucero220,60.6
2026-01-02 01:00:00.000000,Atacama220_BP1,60.3
2026-01-02 01:00:00.000000,Cardones220,59.0
2026-01-02 01:00:00.000000,PAzucar220,57.8
2026-01-02 01:00:00.000000,Quillota220,56.2
2026-01-02 01:00:00.000000,Charrua220,53.7
2026-01-02 01:00:00.000000,PMontt220,19.2
2026-01-02 02:00:00.000000,Tarapaca220,64.7
2026-01-02 02:00:00.000000,Crucero220,61.3
2026-01-02 02:00:00.000000,Atacama220_BP1,60.8
2026-01-02 02:00:00.000000,Cardones220,59.4
2026-01-02 02:00:00.000000,PAzucar220,58.1
2026-01-02 02:00:00.000000,Quillota220,56.2
2026-01-02 02:00:00.000000,Charrua220,53.8
2026-01-02 02:00:00.000000,PMontt220,0.0
2026-01-02 03:00:00.000000,Tarapaca220,65.4
2026-01-02 03:00:00.000000,Crucero220,61.8
2026-01-02 03:00:00.000000,Atacama220_BP1,61.4
2026-01-02 03:00:00.000000,Cardones220,59.8
2026-01-02 03:00:00.000000,PAzucar220,58.3
2026-01-02 03:00:00.000000,Quillota220,56.2
2026-01-02 03:00:00.000000,Charrua220,53.8
2026-01-02 03:00:00.000000,PMontt220,0.0
2026-01-02 04:00:00.000000,Tarapaca220,63.3
2026-01-02 04:00:00.000000,Crucero220,61.0
2026-01-02 04:00:00.000000,Atacama220_BP1,60.6
2026-01-02 04:00:00.000000,Cardones220,59.1
2026-01-02 04:00:00.000000,PAzucar220,57.9
2026-01-02 04:00:00.000000,Quillota220,56.1
2026-01-02 04:00:00.000000,Charrua220,53.7
2026-01-02 04:00:00.000000,PMontt220,2.7
2026-01-02 05:00:00.000000,Tarapaca220,61.1
2026-01-02 05:00:00.000000,Crucero220,57.7
2026-01-02 05:00:00.000000,Atacama220_BP1,57.6
2026-01-02 05:00:00.000000,Cardones220,57.5
2026-01-02 05:00:00.000000,PAzucar220,56.9
2026-01-02 05:00:00.000000,Quillota220,55.9
2026-01-02 05:00:00.000000,Charrua220,53.6
2026-01-02 05:00:00.000000,PMontt220,3.4
2026-01-02 06:00:00.000000,Tarapaca220,58.4
2026-01-02 06:00:00.000000,Cardones220,56.8
2026-01-02 06:00:00.000000,Crucero220,56.6
2026-01-02 06:00:00.000000,PAzucar220,56.5
2026-01-02 06:00:00.000000,Atacama220_BP1,56.4
2026-01-02 06:00:00.000000,Quillota220,56.0
2026-01-02 06:00:00.000000,Charrua220,53.9
2026-01-02 06:00:00.000000,PMontt220,5.5
2026-01-02 07:00:00.000000,Tarapaca220,53.7
2026-01-02 07:00:00.000000,Crucero220,51.1
2026-01-02 07:00:00.000000,Atacama220_BP1,50.8
2026-01-02 07:00:00.000000,Cardones220,50.5
2026-01-02 07:00:00.000000,Quillota220,50.5
2026-01-02 07:00:00.000000,PAzucar220,50.4
2026-01-02 07:00:00.000000,Charrua220,48.4
2026-01-02 07:00:00.000000,PMontt220,12.4
2026-01-02 08:00:00.000000,PMontt220,19.6
2026-01-02 08:00:00.000000,Quillota220,18.6
2026-01-02 08:00:00.000000,Charrua220,17.9
2026-01-02 08:00:00.000000,PAzucar220,17.6
2026-01-02 08:00:00.000000,Atacama220_BP1,17.2
2026-01-02 08:00:00.000000,Cardones220,17.0
2026-01-02 08:00:00.000000,Tarapaca220,16.9
2026-01-02 08:00:00.000000,Crucero220,16.8
2026-01-02 09:00:00.000000,PMontt220,5.9
2026-01-02 09:00:00.000000,Atacama220_BP1,0.0
2026-01-02 09:00:00.000000,Cardones220,0.0
2026-01-02 09:00:00.000000,Charrua220,0.0
2026-01-02 09:00:00.000000,Crucero220,0.0
2026-01-02 09:00:00.000000,PAzucar220,0.0
2026-01-02 09:00:00.000000,Quillota220,0.0
2026-01-02 09:00:00.000000,Tarapaca220,0.0
