Fecha Hora,Barra,Costo Marginal [USD/MWh]
2025-10-27 00:00:00.000000,Tarapaca220,63.2
2025-10-27 00:00:00.000000,Atacama220_BP1,60.1
2025-10-27 00:00:00.000000,Crucero220,59.8
2025-10-27 00:00:00.000000,Cardones220,58.5
2025-10-27 00:00:00.000000,Quillota220,57.5
2025-10-27 00:00:00.000000,PAzucar220,57.1
2025-10-27 00:00:00.000000,Charrua220,53.6
2025-10-27 00:00:00.000000,PMontt220,8.6
2025-10-27 01:00:00.000000,Tarapaca220,63.2
2025-10-27 01:00:00.000000,Atacama220_BP1,59.9
2025-10-27 01:00:00.000000,Crucero220,59.8
2025-10-27 01:00:00.000000,Cardones220,58.3
2025-10-27 01:00:00.000000,Quillota220,57.1
2025-10-27 01:00:00.000000,PAzucar220,56.9
2025-10-27 01:00:00.000000,Charrua220,53.4
2025-10-27 01:00:00.000000,PMontt220,8.3
2025-10-27 02:00:00.000000,Tarapaca220,61.1
2025-10-27 02:00:00.000000,Atacama220_BP1,58.1
2025-10-27 02:00:00.000000,Crucero220,57.9
2025-10-27 02:00:00.000000,Cardones220,56.4
2025-10-27 02:00:00.000000,PAzucar220,55.0
2025-10-27 02:00:00.000000,Quillota220,55.0
2025-10-27 02:00:00.000000,Charrua220,51.6
2025-10-27 02:00:00.000000,PMontt220,7.2
2025-10-27 03:00:00.000000,Tarapaca220,61.3
2025-10-27 03:00:00.000000,Atacama220_BP1,58.3
2025-10-27 03:00:00.000000,Crucero220,58.2
2025-10-27 03:00:00.000000,Cardones220,56.5
2025-10-27 03:00:00.000000,PAzucar220,55.2
2025-10-27 03:00:00.000000,Quillota220,55.1
2025-10-27 03:00:00.000000,Charrua220,51.7
2025-10-27 03:00:00.000000,PMontt220,7.3
2025-10-27 04:00:00.000000,Tarapaca220,59.9
2025-10-27 04:00:00.000000,Atacama220_BP1,57.1
2025-10-27 04:00:00.000000,Crucero220,56.9
2025-10-27 04:00:00.000000,Cardones220,55.5
2025-10-27 04:00:00.000000,PAzucar220,54.3
2025-10-27 04:00:00.000000,Quillota220,54.1
2025-10-27 04:00:00.000000,Charrua220,51.1
2025-10-27 04:00:00.000000,PMontt220,7.0
2025-10-27 05:00:00.000000,Tarapaca220,58.9
2025-10-27 05:00:00.000000,Atacama220_BP1,56.1
2025-10-27 05:00:00.000000,Crucero220,56.0
2025-10-27 05:00:00.000000,Cardones220,54.7
2025-10-27 05:00:00.000000,PAzucar220,53.7
2025-10-27 05:00:00.000000,Quillota220,53.6
2025-10-27 05:00:00.000000,Charrua220,50.6
2025-10-27 05:00:00.000000,PMontt220,6.5
2025-10-27 06:00:00.000000,Tarapaca220,59.8
2025-10-27 06:00:00.000000,Atacama220_BP1,57.1
2025-10-27 06:00:00.000000,Crucero220,56.8
