Fecha Hora,Barra,Costo Marginal [USD/MWh]
2026-03-10 00:00:00.000000,Tarapaca220,65.4
2026-03-10 00:00:00.000000,PMontt220,62.7
2026-03-10 00:00:00.000000,Crucero220,61.9
2026-03-10 00:00:00.000000,Atacama220_BP1,61.4
2026-03-10 00:00:00.000000,Cardones220,60.2
2026-03-10 00:00:00.000000,PAzucar220,59.0
2026-03-10 00:00:00.000000,Quillota220,58.3
2026-03-10 00:00:00.000000,Charrua220,57.6
2026-03-10 01:00:00.000000,Tarapaca220,65.6
2026-03-10 01:00:00.000000,PMontt220,62.9
2026-03-10 01:00:00.000000,Crucero220,62.0
2026-03-10 01:00:00.000000,Atacama220_BP1,61.5
2026-03-10 01:00:00.000000,Cardones220,60.3
2026-03-10 01:00:00.000000,PAzucar220,59.2
2026-03-10 01:00:00.000000,Quillota220,58.4
2026-03-10 01:00:00.000000,Charrua220,57.7
2026-03-10 02:00:00.000000,Tarapaca220,65.3
2026-03-10 02:00:00.000000,Crucero220,61.7
2026-03-10 02:00:00.000000,PMontt220,61.3
2026-03-10 02:00:00.000000,Atacama220_BP1,61.2
2026-03-10 02:00:00.000000,Cardones220,60.1
2026-03-10 02:00:00.000000,PAzucar220,58.9
2026-03-10 02:00:00.000000,Quillota220,58.0
2026-03-10 02:00:00.000000,Charrua220,57.2
2026-03-10 03:00:00.000000,Tarapaca220,64.9
2026-03-10 03:00:00.000000,Crucero220,61.5
2026-03-10 03:00:00.000000,PMontt220,61.1
2026-03-10 03:00:00.000000,Atacama220_BP1,60.9
2026-03-10 03:00:00.000000,Cardones220,60.2
2026-03-10 03:00:00.000000,PAzucar220,59.2
2026-03-10 03:00:00.000000,Quillota220,58.2
2026-03-10 03:00:00.000000,Charrua220,57.2
2026-03-10 04:00:00.000000,Tarapaca220,64.2
2026-03-10 04:00:00.000000,PMontt220,61.2
2026-03-10 04:00:00.000000,Crucero220,60.6
2026-03-10 04:00:00.000000,Atacama220_BP1,60.1
2026-03-10 04:00:00.000000,Cardones220,59.8
2026-03-10 04:00:00.000000,PAzucar220,59.1
