fecha_minuto,Barra,CMg(USD/MWh)
2025-09-07 18:00,QUILLOTA______220,"70,99"
2025-09-07 18:00,CHARRUA_______220,"70,17"
2025-09-07 18:00,P.MONTT_______220,"69,30"
2025-09-07 18:00,TARAPACA______220,"66,55"
2025-09-07 18:00,P.AZUCAR______220,"66,33"
2025-09-07 18:00,ATACAMA_______220,"61,83"
2025-09-07 18:00,CRUCERO_______220,"61,70"
2025-09-07 18:00,CARDONES______220,"61,57"
2025-09-07 18:15,QUILLOTA______220,"70,99"
2025-09-07 18:15,CHARRUA_______220,"70,78"
2025-09-07 18:15,P.MONTT_______220,"70,31"
2025-09-07 18:15,P.AZUCAR______220,"66,47"
2025-09-07 18:15,TARAPACA______220,"65,42"
2025-09-07 18:15,CARDONES______220,"61,68"
2025-09-07 18:15,CRUCERO_______220,"60,62"
2025-09-07 18:15,ATACAMA_______220,"60,21"
2025-09-07 18:30,QUILLOTA______220,"74,66"
2025-09-07 18:30,CHARRUA_______220,"73,75"
2025-09-07 18:30,P.MONTT_______220,"73,66"
2025-09-07 18:30,P.AZUCAR______220,"70,47"
2025-09-07 18:30,TARAPACA______220,"68,82"
2025-09-07 18:30,CARDONES______220,"65,99"
2025-09-07 18:30,CRUCERO_______220,"63,82"
2025-09-07 18:30,ATACAMA_______220,"63,55"
2025-09-07 18:45,QUILLOTA______220,"75,58"
2025-09-07 18:45,TARAPACA______220,"73,77"
2025-09-07 18:45,P.MONTT_______220,"73,43"
2025-09-07 18:45,CHARRUA_______220,"73,34"
2025-09-07 18:45,P.AZUCAR______220,"72,71"
2025-09-07 18:45,CARDONES______220,"69,48"
2025-09-07 18:45,CRUCERO_______220,"67,99"
2025-09-07 18:45,ATACAMA_______220,"67,62"
2025-09-07 19:00,QUILLOTA______220,"71,60"
2025-09-07 19:00,TARAPACA______220,"70,45"
2025-09-07 19:00,P.AZUCAR______220,"69,16"
2025-09-07 19:00,CHARRUA_______220,"69,10"
2025-09-07 19:00,P.MONTT_______220,"68,17"
2025-09-07 19:00,CARDONES______220,"66,48"
2025-09-07 19:00,CRUCERO_______220,"64,74"
2025-09-07 19:00,ATACAMA_______220,"64,03"
2025-09-07 19:15,QUILLOTA______220,"75,58"
2025-09-07 19:15,TARAPACA______220,"75,26"
2025-09-07 19:15,P.AZUCAR______220,"73,45"
2025-09-07 19:15,CHARRUA_______220,"72,31"
2025-09-07 19:15,P.MONTT_______220,"71,08"
2025-09-07 19:15,CARDONES______220,"70,97"
2025-09-07 19:15,CRUCERO_______220,"69,32"
2025-09-07 19:15,ATACAMA_______220,"68,62"
2025-09-07 19:30,TARAPACA______220,"87,24"
2025-09-07 19:30,QUILLOTA______220,"85,74"
2025-09-07 19:30,P.AZUCAR______220,"83,83"
2025-09-07 19:30,CARDONES______220,"81,43"
2025-09-07 19:30,CHARRUA_______220,"81,09"
2025-09-07 19:30,CRUCERO_______220,"80,23"
2025-09-07 19:30,P.MONTT_______220,"79,91"
2025-09-07 19:30,ATACAMA_______220,"79,62"
2025-09-07 19:45,QUILLOTA______220,"87,30"
2025-09-07 19:45,TARAPACA______220,"85,04"
2025-09-07 19:45,P.AZUCAR______220,"84,61"
2025-09-07 19:45,P.MONTT_______220,"84,10"
2025-09-07 19:45,CHARRUA_______220,"83,83"
2025-09-07 19:45,CARDONES______220,"81,65"
2025-09-07 19:45,CRUCERO_______220,"79,58"
2025-09-07 19:45,ATACAMA_______220,"79,15"
2025-09-07 20:00,QUILLOTA______220,"87,30"
2025-09-07 20:00,TARAPACA______220,"85,34"
2025-09-07 20:00,P.AZUCAR______220,"84,86"
2025-09-07 20:00,CHARRUA_______220,"84,77"
2025-09-07 20:00,P.MONTT_______220,"84,15"
2025-09-07 20:00,CARDONES______220,"81,84"
2025-09-07 20:00,CRUCERO_______220,"79,72"
2025-09-07 20:00,ATACAMA_______220,"79,37"
2025-09-07 20:15,QUILLOTA______220,"87,30"
2025-09-07 20:15,CHARRUA_______220,"85,15"
2025-09-07 20:15,TARAPACA______220,"84,96"
2025-09-07 20:15,P.AZUCAR______220,"84,78"
2025-09-07 20:15,P.MONTT_______220,"84,76"
2025-09-07 20:15,CARDONES______220,"81,61"
2025-09-07 20:15,CRUCERO_______220,"79,28"
2025-09-07 20:15,ATACAMA_______220,"78,81"
2025-09-07 20:30,QUILLOTA______220,"87,30"
2025-09-07 20:30,TARAPACA______220,"86,10"
2025-09-07 20:30,CHARRUA_______220,"85,04"
2025-09-07 20:30,P.AZUCAR______220,"84,92"
2025-09-07 20:30,P.MONTT_______220,"83,23"
2025-09-07 20:30,CARDONES______220,"81,93"
2025-09-07 20:30,CRUCERO_______220,"80,17"
2025-09-07 20:30,ATACAMA_______220,"79,45"
2025-09-07 20:45,QUILLOTA______220,"87,30"
2025-09-07 20:45,TARAPACA______220,"86,63"
2025-09-07 20:45,P.AZUCAR______220,"85,23"
2025-09-07 20:45,CHARRUA_______220,"85,04"
2025-09-07 20:45,P.MONTT_______220,"83,62"
2025-09-07 20:45,CARDONES______220,"82,35"
2025-09-07 20:45,CRUCERO_______220,"80,67"
2025-09-07 20:45,ATACAMA_______220,"80,06"
2025-09-07 21:00,TARAPACA______220,"87,77"
2025-09-07 21:00,QUILLOTA______220,"87,30"
2025-09-07 21:00,P.AZUCAR______220,"85,42"
2025-09-07 21:00,CHARRUA_______220,"84,93"
2025-09-07 21:00,P.MONTT_______220,"83,07"
2025-09-07 21:00,CARDONES______220,"82,68"
2025-09-07 21:00,CRUCERO_______220,"81,36"
2025-09-07 21:00,ATACAMA_______220,"80,72"
2025-09-07 21:15,TARAPACA______220,"106,90"
2025-09-07 21:15,QUILLOTA______220,"105,60"
2025-09-07 21:15,P.AZUCAR______220,"103,58"
2025-09-07 21:15,CHARRUA_______220,"102,21"
2025-09-07 21:15,P.MONTT_______220,"100,92"
2025-09-07 21:15,CARDONES______220,"100,53"
2025-09-07 21:15,CRUCERO_______220,"99,45"
2025-09-07 21:15,ATACAMA_______220,"98,60"
2025-09-07 21:30,TARAPACA______220,"117,41"
2025-09-07 21:30,QUILLOTA______220,"112,25"
2025-09-07 21:30,P.AZUCAR______220,"111,11"
2025-09-07 21:30,CRUCERO_______220,"108,97"
2025-09-07 21:30,CHARRUA_______220,"108,64"
2025-09-07 21:30,CARDONES______220,"108,52"
2025-09-07 21:30,ATACAMA_______220,"108,10"
2025-09-07 21:30,P.MONTT_______220,"106,46"
2025-09-07 21:45,TARAPACA______220,"117,12"
2025-09-07 21:45,QUILLOTA______220,"112,25"
2025-09-07 21:45,P.AZUCAR______220,"111,21"
2025-09-07 21:45,CRUCERO_______220,"108,96"
2025-09-07 21:45,CHARRUA_______220,"108,90"
2025-09-07 21:45,CARDONES______220,"108,68"
2025-09-07 21:45,ATACAMA_______220,"108,10"
2025-09-07 21:45,P.MONTT_______220,"104,39"
2025-09-07 22:00,TARAPACA______220,"119,43"
2025-09-07 22:00,QUILLOTA______220,"112,25"
2025-09-07 22:00,P.AZUCAR______220,"111,91"
2025-09-07 22:00,CRUCERO_______220,"110,47"
2025-09-07 22:00,CARDONES______220,"109,86"
2025-09-07 22:00,ATACAMA_______220,"109,56"
2025-09-07 22:00,CHARRUA_______220,"108,90"
2025-09-07 22:00,P.MONTT_______220,"103,46"
2025-09-07 22:15,TARAPACA______220,"119,73"
2025-09-07 22:15,QUILLOTA______220,"112,25"
2025-09-07 22:15,P.AZUCAR______220,"112,01"
2025-09-07 22:15,CRUCERO_______220,"110,63"
2025-09-07 22:15,CARDONES______220,"110,01"
2025-09-07 22:15,ATACAMA_______220,"109,85"
2025-09-07 22:15,CHARRUA_______220,"109,08"
2025-09-07 22:15,P.MONTT_______220,"105,03"
2025-09-07 22:30,TARAPACA______220,"119,02"
2025-09-07 22:30,QUILLOTA______220,"112,25"
2025-09-07 22:30,P.AZUCAR______220,"111,87"
2025-09-07 22:30,CRUCERO_______220,"110,31"
2025-09-07 22:30,CARDONES______220,"109,88"
2025-09-07 22:30,ATACAMA_______220,"109,58"
2025-09-07 22:30,CHARRUA_______220,"108,99"
2025-09-07 22:30,P.MONTT_______220,"104,15"
2025-09-07 22:45,TARAPACA______220,"119,87"
2025-09-07 22:45,QUILLOTA______220,"112,25"
2025-09-07 22:45,P.AZUCAR______220,"112,08"
2025-09-07 22:45,CRUCERO_______220,"111,16"
2025-09-07 22:45,ATACAMA_______220,"110,48"
2025-09-07 22:45,CARDONES______220,"110,29"
2025-09-07 22:45,CHARRUA_______220,"108,89"
2025-09-07 22:45,P.MONTT_______220,"101,64"
2025-09-07 23:00,ATACAMA_______220,"0,00"
2025-09-07 23:00,CARDONES______220,"0,00"
2025-09-07 23:00,CHARRUA_______220,"0,00"
2025-09-07 23:00,CRUCERO_______220,"0,00"
2025-09-07 23:00,P.AZUCAR______220,"0,00"
