Fecha Hora,Barra,Costo Marginal [USD/MWh]
2026-02-23 00:00:00.000000,Tarapaca220,61.2
2026-02-23 00:00:00.000000,Atacama220_BP1,58.3
2026-02-23 00:00:00.000000,Crucero220,58.2
2026-02-23 00:00:00.000000,Cardones220,56.8
2026-02-23 00:00:00.000000,PAzucar220,56.0
2026-02-23 00:00:00.000000,Quillota220,54.7
2026-02-23 00:00:00.000000,Charrua220,53.1
2026-02-23 00:00:00.000000,PMontt220,43.7
2026-02-23 01:00:00.000000,Tarapaca220,62.0
2026-02-23 01:00:00.000000,Crucero220,59.0
2026-02-23 01:00:00.000000,Atacama220_BP1,59.0
2026-02-23 01:00:00.000000,Cardones220,57.3
2026-02-23 01:00:00.000000,PAzucar220,56.3
2026-02-23 01:00:00.000000,Quillota220,54.7
2026-02-23 01:00:00.000000,Charrua220,53.0
2026-02-23 01:00:00.000000,PMontt220,47.1
2026-02-23 02:00:00.000000,Tarapaca220,63.1
2026-02-23 02:00:00.000000,Crucero220,60.2
2026-02-23 02:00:00.000000,Atacama220_BP1,60.1
2026-02-23 02:00:00.000000,Cardones220,58.1
2026-02-23 02:00:00.000000,PAzucar220,56.8
2026-02-23 02:00:00.000000,Quillota220,54.9
2026-02-23 02:00:00.000000,Charrua220,53.1
2026-02-23 02:00:00.000000,PMontt220,38.5
2026-02-23 03:00:00.000000,Tarapaca220,63.6
2026-02-23 03:00:00.000000,Crucero220,60.8
2026-02-23 03:00:00.000000,Atacama220_BP1,60.6
2026-02-23 03:00:00.000000,Cardones220,58.3
2026-02-23 03:00:00.000000,PAzucar220,56.9
2026-02-23 03:00:00.000000,Quillota220,54.7
2026-02-23 03:00:00.000000,Charrua220,52.9
2026-02-23 03:00:00.000000,PMontt220,38.6
2026-02-23 04:00:00.000000,Tarapaca220,60.7
2026-02-23 04:00:00.000000,Crucero220,58.2
2026-02-23 04:00:00.000000,Atacama220_BP1,58.0
2026-02-23 04:00:00.000000,Cardones220,55.8
2026-02-23 04:00:00.000000,PAzucar220,54.4
2026-02-23 04:00:00.000000,Quillota220,52.4
2026-02-23 04:00:00.000000,Charrua220,50.7
2026-02-23 04:00:00.000000,PMontt220,48.8
2026-02-23 05:00:00.000000,Tarapaca220,60.7
2026-02-23 05:00:00.000000,Crucero220,58.2
2026-02-23 05:00:00.000000,Atacama220_BP1,58.1
2026-02-23 05:00:00.000000,Cardones220,56.0
2026-02-23 05:00:00.000000,PAzucar220,54.7
2026-02-23 05:00:00.000000,Quillota220,52.5
2026-02-23 05:00:00.000000,Charrua220,50.8
2026-02-23 05:00:00.000000,PMontt220,36.8
2026-02-23 06:00:00.000000,Tarapaca220,62.0
2026-02-23 06:00:00.000000,Atacama220_BP1,59.4
2026-02-23 06:00:00.000000,Crucero220,59.4
2026-02-23 06:00:00.000000,Cardones220,57.5
2026-02-23 06:00:00.000000,PAzucar220,56.5
2026-02-23 06:00:00.000000,Quillota220,54.5
2026-02-23 06:00:00.000000,Charrua220,52.6
2026-02-23 06:00:00.000000,PMontt220,50.4
2026-02-23 07:00:00.000000,Tarapaca220,60.7
2026-02-23 07:00:00.000000,Atacama220_BP1,58.2
2026-02-23 07:00:00.000000,Crucero220,58.2
2026-02-23 07:00:00.000000,Cardones220,56.7
2026-02-23 07:00:00.000000,PMontt220,56.1
2026-02-23 07:00:00.000000,PAzucar220,56.0
2026-02-23 07:00:00.000000,Quillota220,54.5
2026-02-23 07:00:00.000000,Charrua220,52.8
2026-02-23 08:00:00.000000,PMontt220,51.3
2026-02-23 08:00:00.000000,Tarapaca220,50.1
2026-02-23 08:00:00.000000,Atacama220_BP1,49.1
2026-02-23 08:00:00.000000,Crucero220,48.4
2026-02-23 08:00:00.000000,Quillota220,47.4
2026-02-23 08:00:00.000000,PAzucar220,47.2
2026-02-23 08:00:00.000000,Cardones220,47.0
2026-02-23 08:00:00.000000,Charrua220,46.1
2026-02-23 09:00:00.000000,PMontt220,23.5
2026-02-23 09:00:00.000000,Quillota220,20.5
2026-02-23 09:00:00.000000,Charrua220,19.9
2026-02-23 09:00:00.000000,PAzucar220,19.1
2026-02-23 09:00:00.000000,Atacama220_BP1,18.6
2026-02-23 09:00:00.000000,Tarapaca220,18.5
2026-02-23 09:00:00.000000,Cardones220,18.1
2026-02-23 09:00:00.000000,Crucero220,18.0
2026-02-23 10:00:00.000000,PMontt220,214.3
2026-02-23 10:00:00.000000,Quillota220,14.7
2026-02-23 10:00:00.000000,Charrua220,14.3
2026-02-23 10:00:00.000000,PAzucar220,13.6
2026-02-23 10:00:00.000000,Tarapaca220,13.2
2026-02-23 10:00:00.000000,Atacama220_BP1,13.1
2026-02-23 10:00:00.000000,Cardones220,13.0
2026-02-23 10:00:00.000000,Crucero220,12.9
2026-02-23 11:00:00.000000,PMontt220,214.3
2026-02-23 11:00:00.000000,Quillota220,14.7
2026-02-23 11:00:00.000000,Charrua220,14.2
2026-02-23 11:00:00.000000,PAzucar220,13.6
2026-02-23 11:00:00.000000,Tarapaca220,13.3
2026-02-23 11:00:00.000000,Atacama220_BP1,13.2
2026-02-23 11:00:00.000000,Cardones220,13.1
2026-02-23 11:00:00.000000,Crucero220,13.0
2026-02-23 12:00:00.000000,PMontt220,215.7
2026-02-23 12:00:00.000000,Quillota220,14.7
2026-02-23 12:00:00.000000,Charrua220,14.3
2026-02-23 12:00:00.000000,PAzucar220,13.6
2026-02-23 12:00:00.000000,Tarapaca220,13.3
2026-02-23 12:00:00.000000,Atacama220_BP1,13.2
2026-02-23 12:00:00.000000,Cardones220,13.0
2026-02-23 12:00:00.000000,Crucero220,13.0
2026-02-23 13:00:00.000000,PMontt220,202.4
2026-02-23 13:00:00.000000,Quillota220,14.7
2026-02-23 13:00:00.000000,Charrua220,14.3
2026-02-23 13:00:00.000000,PAzucar220,13.5
2026-02-23 13:00:00.000000,Tarapaca220,12.9
2026-02-23 13:00:00.000000,Atacama220_BP1,12.9
2026-02-23 13:00:00.000000,Cardones220,12.9
2026-02-23 13:00:00.000000,Crucero220,12.6
2026-02-23 14:00:00.000000,PMontt220,55.2
2026-02-23 14:00:00.000000,Quillota220,14.7
2026-02-23 14:00:00.000000,Charrua220,14.3
2026-02-23 14:00:00.000000,PAzucar220,13.4
2026-02-23 14:00:00.000000,Cardones220,12.8
2026-02-23 14:00:00.000000,Tarapaca220,12.7
2026-02-23 14:00:00.000000,Atacama220_BP1,12.7
2026-02-23 14:00:00.000000,Crucero220,12.4
2026-02-23 15:00:00.000000,PMontt220,70.4
2026-02-23 15:00:00.000000,Quillota220,14.6
2026-02-23 15:00:00.000000,Charrua220,14.2
2026-02-23 15:00:00.000000,PAzucar220,13.3
2026-02-23 15:00:00.000000,Cardones220,12.6
2026-02-23 15:00:00.000000,Tarapaca220,12.6
2026-02-23 15:00:00.000000,Atacama220_BP1,12.5
2026-02-23 15:00:00.000000,Crucero220,12.2
2026-02-23 16:00:00.000000,PMontt220,70.2
2026-02-23 16:00:00.000000,Quillota220,14.6
2026-02-23 16:00:00.000000,Charrua220,14.2
2026-02-23 16:00:00.000000,PAzucar220,13.4
2026-02-23 16:00:00.000000,Tarapaca220,13.0
2026-02-23 16:00:00.000000,Cardones220,12.8
2026-02-23 16:00:00.000000,Atacama220_BP1,12.8
2026-02-23 16:00:00.000000,Crucero220,12.6
2026-02-23 17:00:00.000000,PMontt220,37.9
2026-02-23 17:00:00.000000,Quillota220,14.6
2026-02-23 17:00:00.000000,Charrua220,14.2
2026-02-23 17:00:00.000000,PAzucar220,13.3
2026-02-23 17:00:00.000000,Tarapaca220,12.8
2026-02-23 17:00:00.000000,Cardones220,12.7
2026-02-23 17:00:00.000000,Atacama220_BP1,12.6
2026-02-23 17:00:00.000000,Crucero220,12.3
2026-02-23 18:00:00.000000,PMontt220,16.4
2026-02-23 18:00:00.000000,Quillota220,14.4
2026-02-23 18:00:00.000000,Charrua220,13.9
2026-02-23 18:00:00.000000,PAzucar220,13.3
2026-02-23 18:00:00.000000,Tarapaca220,13.0
2026-02-23 18:00:00.000000,Atacama220_BP1,12.9
2026-02-23 18:00:00.000000,Cardones220,12.8
2026-02-23 18:00:00.000000,Crucero220,12.6
2026-02-23 19:00:00.000000,PMontt220,55.3
2026-02-23 19:00:00.000000,Tarapaca220,53.3
2026-02-23 19:00:00.000000,Atacama220_BP1,51.8
2026-02-23 19:00:00.000000,Crucero220,50.7
2026-02-23 19:00:00.000000,Quillota220,49.8
2026-02-23 19:00:00.000000,PAzucar220,49.5
2026-02-23 19:00:00.000000,Cardones220,49.4
2026-02-23 19:00:00.000000,Charrua220,49.1
2026-02-23 20:00:00.000000,Tarapaca220,60.2
2026-02-23 20:00:00.000000,PMontt220,58.8
2026-02-23 20:00:00.000000,Atacama220_BP1,57.9
2026-02-23 20:00:00.000000,Crucero220,56.5
2026-02-23 20:00:00.000000,PAzucar220,55.4
2026-02-23 20:00:00.000000,Cardones220,55.4
2026-02-23 20:00:00.000000,Quillota220,54.9
2026-02-23 20:00:00.000000,Charrua220,53.9
2026-02-23 21:00:00.000000,Tarapaca220,60.1
2026-02-23 21:00:00.000000,PMontt220,59.3
2026-02-23 21:00:00.000000,Atacama220_BP1,58.0
2026-02-23 21:00:00.000000,Crucero220,56.3
2026-02-23 21:00:00.000000,PAzucar220,55.8
2026-02-23 21:00:00.000000,Cardones220,55.8
2026-02-23 21:00:00.000000,Quillota220,55.1
2026-02-23 21:00:00.000000,Charrua220,53.7
2026-02-23 22:00:00.000000,Tarapaca220,61.9
2026-02-23 22:00:00.000000,Atacama220_BP1,60.0
2026-02-23 22:00:00.000000,PMontt220,58.9
2026-02-23 22:00:00.000000,Crucero220,58.4
2026-02-23 22:00:00.000000,Cardones220,56.9
2026-02-23 22:00:00.000000,PAzucar220,56.4
2026-02-23 22:00:00.000000,Quillota220,54.9
2026-02-23 22:00:00.000000,Charrua220,53.3
2026-02-23 23:00:00.000000,Tarapaca220,62.8
2026-02-23 23:00:00.000000,Atacama220_BP1,60.9
2026-02-23 23:00:00.000000,Crucero220,59.4
2026-02-23 23:00:00.000000,Cardones220,57.7
2026-02-23 23:00:00.000000,PAzucar220,56.9
2026-02-23 23:00:00.000000,PMontt220,55.6
2026-02-23 23:00:00.000000,Quillota220,54.9
2026-02-23 23:00:00.000000,Charrua220,53.3
2026-02-24 00:00:00.000000,Tarapaca220,64.5
2026-02-24 00:00:00.000000,Atacama220_BP1,62.3
2026-02-24 00:00:00.000000,Crucero220,61.4
2026-02-24 00:00:00.000000,Cardones220,58.8
2026-02-24 00:00:00.000000,PAzucar220,57.4
2026-02-24 00:00:00.000000,PMontt220,55.5
2026-02-24 00:00:00.000000,Quillota220,54.7
2026-02-24 00:00:00.000000,Charrua220,53.0
2026-02-24 01:00:00.000000,Tarapaca220,65.7
2026-02-24 01:00:00.000000,Atacama220_BP1,63.4
2026-02-24 01:00:00.000000,Crucero220,62.5
2026-02-24 01:00:00.000000,Cardones220,59.3
2026-02-24 01:00:00.000000,PAzucar220,57.5
2026-02-24 01:00:00.000000,Quillota220,54.2
2026-02-24 01:00:00.000000,PMontt220,52.5
2026-02-24 01:00:00.000000,Charrua220,52.4
2026-02-24 02:00:00.000000,Tarapaca220,66.2
2026-02-24 02:00:00.000000,Atacama220_BP1,63.9
2026-02-24 02:00:00.000000,Crucero220,63.0
2026-02-24 02:00:00.000000,Cardones220,60.1
2026-02-24 02:00:00.000000,PAzucar220,58.2
2026-02-24 02:00:00.000000,Quillota220,54.7
2026-02-24 02:00:00.000000,Charrua220,53.1
2026-02-24 02:00:00.000000,PMontt220,26.0
2026-02-24 03:00:00.000000,Tarapaca220,66.1
2026-02-24 03:00:00.000000,Atacama220_BP1,63.9
2026-02-24 03:00:00.000000,Crucero220,63.1
2026-02-24 03:00:00.000000,Cardones220,60.1
2026-02-24 03:00:00.000000,PAzucar220,58.2
2026-02-24 03:00:00.000000,Quillota220,54.7
2026-02-24 03:00:00.000000,Charrua220,53.4
2026-02-24 03:00:00.000000,PMontt220,17.0
2026-02-24 04:00:00.000000,Tarapaca220,66.1
2026-02-24 04:00:00.000000,Atacama220_BP1,63.9
2026-02-24 04:00:00.000000,Crucero220,63.1
2026-02-24 04:00:00.000000,Cardones220,60.1
2026-02-24 04:00:00.000000,PAzucar220,58.2
2026-02-24 04:00:00.000000,Quillota220,54.7
2026-02-24 04:00:00.000000,Charrua220,53.4
2026-02-24 04:00:00.000000,PMontt220,17.0
2026-02-24 05:00:00.000000,Tarapaca220,66.1
2026-02-24 05:00:00.000000,Atacama220_BP1,63.9
2026-02-24 05:00:00.000000,Crucero220,63.1
2026-02-24 05:00:00.000000,Cardones220,60.1
2026-02-24 05:00:00.000000,PAzucar220,58.2
2026-02-24 05:00:00.000000,Quillota220,54.7
2026-02-24 05:00:00.000000,Charrua220,53.4
2026-02-24 05:00:00.000000,PMontt220,17.0
2026-02-24 06:00:00.000000,Tarapaca220,65.3
2026-02-24 06:00:00.000000,Atacama220_BP1,63.2
2026-02-24 06:00:00.000000,Crucero220,62.3
2026-02-24 06:00:00.000000,Cardones220,59.4
2026-02-24 06:00:00.000000,PAzucar220,57.8
2026-02-24 06:00:00.000000,Quillota220,54.6
2026-02-24 06:00:00.000000,Charrua220,52.9
2026-02-24 06:00:00.000000,PMontt220,17.1
2026-02-24 07:00:00.000000,Tarapaca220,64.1
2026-02-24 07:00:00.000000,Atacama220_BP1,62.1
2026-02-24 07:00:00.000000,Crucero220,61.2
2026-02-24 07:00:00.000000,Cardones220,58.6
2026-02-24 07:00:00.000000,PAzucar220,57.3
2026-02-24 07:00:00.000000,Quillota220,54.5
2026-02-24 07:00:00.000000,Charrua220,52.9
2026-02-24 07:00:00.000000,PMontt220,33.9
2026-02-24 08:00:00.000000,Tarapaca220,49.9
2026-02-24 08:00:00.000000,Atacama220_BP1,49.0
2026-02-24 08:00:00.000000,Crucero220,48.3
2026-02-24 08:00:00.000000,PMontt220,47.5
2026-02-24 08:00:00.000000,Cardones220,46.4
2026-02-24 08:00:00.000000,PAzucar220,46.2
2026-02-24 08:00:00.000000,Quillota220,45.7
2026-02-24 08:00:00.000000,Charrua220,44.5
2026-02-24 09:00:00.000000,PMontt220,57.3
2026-02-24 09:00:00.000000,Atacama220_BP1,0.0
2026-02-24 09:00:00.000000,Cardones220,0.0
2026-02-24 09:00:00.000000,Charrua220,0.0
2026-02-24 09:00:00.000000,Crucero220,0.0
2026-02-24 09:00:00.000000,PAzucar220,0.0
2026-02-24 09:00:00.000000,Quillota220,0.0
2026-02-24 09:00:00.000000,Tarapaca220,0.0
2026-02-24 10:00:00.000000,PMontt220,54.4
2026-02-24 10:00:00.000000,Atacama220_BP1,0.0
2026-02-24 10:00:00.000000,Cardones220,0.0
2026-02-24 10:00:00.000000,Charrua220,0.0
2026-02-24 10:00:00.000000,Crucero220,0.0
2026-02-24 10:00:00.000000,PAzucar220,0.0
2026-02-24 10:00:00.000000,Quillota220,0.0
2026-02-24 10:00:00.000000,Tarapaca220,0.0
2026-02-24 11:00:00.000000,PMontt220,54.8
2026-02-24 11:00:00.000000,Atacama220_BP1,0.0
2026-02-24 11:00:00.000000,Cardones220,0.0
2026-02-24 11:00:00.000000,Charrua220,0.0
2026-02-24 11:00:00.000000,Crucero220,0.0
2026-02-24 11:00:00.000000,PAzucar220,0.0
2026-02-24 11:00:00.000000,Quillota220,0.0
2026-02-24 11:00:00.000000,Tarapaca220,0.0
2026-02-24 12:00:00.000000,PMontt220,54.8
2026-02-24 12:00:00.000000,Atacama220_BP1,0.0
2026-02-24 12:00:00.000000,Cardones220,0.0
2026-02-24 12:00:00.000000,Charrua220,0.0
2026-02-24 12:00:00.000000,Crucero220,0.0
2026-02-24 12:00:00.000000,PAzucar220,0.0
2026-02-24 12:00:00.000000,Quillota220,0.0
2026-02-24 12:00:00.000000,Tarapaca220,0.0
2026-02-24 13:00:00.000000,PMontt220,55.0
2026-02-24 13:00:00.000000,Atacama220_BP1,0.0
2026-02-24 13:00:00.000000,Cardones220,0.0
2026-02-24 13:00:00.000000,Charrua220,0.0
2026-02-24 13:00:00.000000,Crucero220,0.0
2026-02-24 13:00:00.000000,PAzucar220,0.0
2026-02-24 13:00:00.000000,Quillota220,0.0
2026-02-24 13:00:00.000000,Tarapaca220,0.0
2026-02-24 14:00:00.000000,PMontt220,55.6
2026-02-24 14:00:00.000000,Atacama220_BP1,0.0
2026-02-24 14:00:00.000000,Cardones220,0.0
2026-02-24 14:00:00.000000,Charrua220,0.0
2026-02-24 14:00:00.000000,Crucero220,0.0
2026-02-24 14:00:00.000000,PAzucar220,0.0
2026-02-24 14:00:00.000000,Quillota220,0.0
2026-02-24 14:00:00.000000,Tarapaca220,0.0
2026-02-24 15:00:00.000000,PMontt220,55.9
2026-02-24 15:00:00.000000,Atacama220_BP1,0.0
2026-02-24 15:00:00.000000,Cardones220,0.0
2026-02-24 15:00:00.000000,Charrua220,0.0
2026-02-24 15:00:00.000000,Crucero220,0.0
2026-02-24 15:00:00.000000,PAzucar220,0.0
2026-02-24 15:00:00.000000,Quillota220,0.0
2026-02-24 15:00:00.000000,Tarapaca220,0.0
2026-02-24 16:00:00.000000,PMontt220,55.8
2026-02-24 16:00:00.000000,Atacama220_BP1,0.0
2026-02-24 16:00:00.000000,Cardones220,0.0
2026-02-24 16:00:00.000000,Charrua220,0.0
2026-02-24 16:00:00.000000,Crucero220,0.0
2026-02-24 16:00:00.000000,PAzucar220,0.0
2026-02-24 16:00:00.000000,Quillota220,0.0
2026-02-24 16:00:00.000000,Tarapaca220,0.0
2026-02-24 17:00:00.000000,PMontt220,38.4
2026-02-24 17:00:00.000000,Atacama220_BP1,0.0
2026-02-24 17:00:00.000000,Cardones220,0.0
2026-02-24 17:00:00.000000,Charrua220,0.0
2026-02-24 17:00:00.000000,Crucero220,0.0
2026-02-24 17:00:00.000000,PAzucar220,0.0
2026-02-24 17:00:00.000000,Quillota220,0.0
2026-02-24 17:00:00.000000,Tarapaca220,0.0
2026-02-24 18:00:00.000000,PMontt220,45.3
2026-02-24 18:00:00.000000,Quillota220,39.4
2026-02-24 18:00:00.000000,Charrua220,38.9
2026-02-24 18:00:00.000000,Tarapaca220,38.2
2026-02-24 18:00:00.000000,PAzucar220,38.1
2026-02-24 18:00:00.000000,Atacama220_BP1,37.7
2026-02-24 18:00:00.000000,Cardones220,37.1
2026-02-24 18:00:00.000000,Crucero220,36.8
2026-02-24 19:00:00.000000,PMontt220,45.3
2026-02-24 19:00:00.000000,Quillota220,39.4
2026-02-24 19:00:00.000000,Charrua220,38.9
2026-02-24 19:00:00.000000,Tarapaca220,38.2
2026-02-24 19:00:00.000000,PAzucar220,38.1
2026-02-24 19:00:00.000000,Atacama220_BP1,37.7
2026-02-24 19:00:00.000000,Cardones220,37.1
2026-02-24 19:00:00.000000,Crucero220,36.8
2026-02-24 20:00:00.000000,PMontt220,59.5
2026-02-24 20:00:00.000000,Tarapaca220,58.6
2026-02-24 20:00:00.000000,Atacama220_BP1,56.6
2026-02-24 20:00:00.000000,PAzucar220,55.5
2026-02-24 20:00:00.000000,Crucero220,55.0
2026-02-24 20:00:00.000000,Quillota220,55.0
2026-02-24 20:00:00.000000,Cardones220,54.9
2026-02-24 20:00:00.000000,Charrua220,54.5
2026-02-24 21:00:00.000000,PMontt220,59.7
2026-02-24 21:00:00.000000,Tarapaca220,58.9
2026-02-24 21:00:00.000000,Atacama220_BP1,57.0
2026-02-24 21:00:00.000000,PAzucar220,55.6
2026-02-24 21:00:00.000000,Crucero220,55.3
2026-02-24 21:00:00.000000,Cardones220,55.1
2026-02-24 21:00:00.000000,Quillota220,55.0
2026-02-24 21:00:00.000000,Charrua220,54.2
2026-02-24 22:00:00.000000,Tarapaca220,60.3
2026-02-24 22:00:00.000000,Atacama220_BP1,58.5
2026-02-24 22:00:00.000000,PMontt220,57.9
2026-02-24 22:00:00.000000,Crucero220,56.8
2026-02-24 22:00:00.000000,Cardones220,56.5
2026-02-24 22:00:00.000000,PAzucar220,56.3
2026-02-24 22:00:00.000000,Quillota220,55.0
2026-02-24 22:00:00.000000,Charrua220,53.8
2026-02-24 23:00:00.000000,Tarapaca220,62.7
2026-02-24 23:00:00.000000,Atacama220_BP1,60.8
2026-02-24 23:00:00.000000,Crucero220,59.3
2026-02-24 23:00:00.000000,Cardones220,57.8
2026-02-24 23:00:00.000000,PAzucar220,57.1
2026-02-24 23:00:00.000000,PMontt220,57.0
2026-02-24 23:00:00.000000,Quillota220,55.1
2026-02-24 23:00:00.000000,Charrua220,53.6
2026-02-25 00:00:00.000000,Tarapaca220,65.9
2026-02-25 00:00:00.000000,Atacama220_BP1,63.7
2026-02-25 00:00:00.000000,Crucero220,62.6
2026-02-25 00:00:00.000000,Cardones220,60.5
2026-02-25 00:00:00.000000,PAzucar220,59.2
2026-02-25 00:00:00.000000,PMontt220,57.8
2026-02-25 00:00:00.000000,Quillota220,56.4
2026-02-25 00:00:00.000000,Charrua220,54.4
2026-02-25 01:00:00.000000,Tarapaca220,66.9
