Fecha Hora,Barra,Costo Marginal [USD/MWh]
2025-12-01 00:00:00.000000,PMontt220,74.6
2025-12-01 00:00:00.000000,Tarapaca220,72.0
2025-12-01 00:00:00.000000,Atacama220_BP1,69.2
2025-12-01 00:00:00.000000,Crucero220,68.3
2025-12-01 00:00:00.000000,Cardones220,65.7
2025-12-01 00:00:00.000000,Quillota220,64.9
2025-12-01 00:00:00.000000,PAzucar220,64.0
2025-12-01 00:00:00.000000,Charrua220,63.3
2025-12-01 01:00:00.000000,PMontt220,73.7
2025-12-01 01:00:00.000000,Tarapaca220,72.9
2025-12-01 01:00:00.000000,Atacama220_BP1,70.1
2025-12-01 01:00:00.000000,Crucero220,69.3
2025-12-01 01:00:00.000000,Cardones220,66.6
2025-12-01 01:00:00.000000,Quillota220,65.0
2025-12-01 01:00:00.000000,PAzucar220,64.7
2025-12-01 01:00:00.000000,Charrua220,63.3
2025-12-01 02:00:00.000000,Tarapaca220,73.0
2025-12-01 02:00:00.000000,PMontt220,72.0
2025-12-01 02:00:00.000000,Atacama220_BP1,70.3
2025-12-01 02:00:00.000000,Crucero220,69.6
2025-12-01 02:00:00.000000,Cardones220,66.7
2025-12-01 02:00:00.000000,PAzucar220,64.8
2025-12-01 02:00:00.000000,Quillota220,64.6
2025-12-01 02:00:00.000000,Charrua220,62.9
2025-12-01 03:00:00.000000,Tarapaca220,72.2
2025-12-01 03:00:00.000000,PMontt220,71.3
2025-12-01 03:00:00.000000,Atacama220_BP1,69.7
2025-12-01 03:00:00.000000,Crucero220,69.0
2025-12-01 03:00:00.000000,Cardones220,66.2
2025-12-01 03:00:00.000000,PAzucar220,64.4
2025-12-01 03:00:00.000000,Quillota220,64.1
2025-12-01 03:00:00.000000,Charrua220,62.4
2025-12-01 04:00:00.000000,Tarapaca220,71.8
2025-12-01 04:00:00.000000,PMontt220,70.8
2025-12-01 04:00:00.000000,Atacama220_BP1,69.3
2025-12-01 04:00:00.000000,Crucero220,68.6
2025-12-01 04:00:00.000000,Cardones220,66.1
2025-12-01 04:00:00.000000,PAzucar220,64.4
2025-12-01 04:00:00.000000,Quillota220,64.0
2025-12-01 04:00:00.000000,Charrua220,62.3
2025-12-01 05:00:00.000000,Tarapaca220,71.7
2025-12-01 05:00:00.000000,PMontt220,71.3
2025-12-01 05:00:00.000000,Atacama220_BP1,69.3
2025-12-01 05:00:00.000000,Crucero220,68.5
2025-12-01 05:00:00.000000,Cardones220,66.4
2025-12-01 05:00:00.000000,PAzucar220,64.9
2025-12-01 05:00:00.000000,Quillota220,64.6
2025-12-01 05:00:00.000000,Charrua220,62.7
2025-12-01 06:00:00.000000,PMontt220,74.2
2025-12-01 06:00:00.000000,Tarapaca220,68.5
2025-12-01 06:00:00.000000,Atacama220_BP1,66.3
2025-12-01 06:00:00.000000,Crucero220,65.4
2025-12-01 06:00:00.000000,Quillota220,64.9
2025-12-01 06:00:00.000000,Cardones220,64.8
2025-12-01 06:00:00.000000,PAzucar220,64.2
2025-12-01 06:00:00.000000,Charrua220,63.3
2025-12-01 07:00:00.000000,PMontt220,168.4
2025-12-01 07:00:00.000000,Quillota220,52.6
2025-12-01 07:00:00.000000,Tarapaca220,52.3
2025-12-01 07:00:00.000000,Charrua220,52.0
2025-12-01 07:00:00.000000,Atacama220_BP1,51.4
2025-12-01 07:00:00.000000,PAzucar220,50.9
2025-12-01 07:00:00.000000,Crucero220,50.4
2025-12-01 07:00:00.000000,Cardones220,50.3
2025-12-01 08:00:00.000000,PMontt220,187.0
2025-12-01 08:00:00.000000,Quillota220,44.9
2025-12-01 08:00:00.000000,Charrua220,44.5
2025-12-01 08:00:00.000000,PAzucar220,40.8
2025-12-01 08:00:00.000000,Cardones220,38.3
2025-12-01 08:00:00.000000,Atacama220_BP1,37.7
2025-12-01 08:00:00.000000,Tarapaca220,37.0
2025-12-01 08:00:00.000000,Crucero220,36.6
2025-12-01 09:00:00.000000,PMontt220,162.1
2025-12-01 09:00:00.000000,Charrua220,35.2
2025-12-01 09:00:00.000000,Quillota220,32.8
2025-12-01 09:00:00.000000,PAzucar220,5.4
2025-12-01 09:00:00.000000,Cardones220,1.6
2025-12-01 09:00:00.000000,Atacama220_BP1,1.6
2025-12-01 09:00:00.000000,Tarapaca220,1.5
2025-12-01 09:00:00.000000,Crucero220,1.5
2025-12-01 10:00:00.000000,PMontt220,168.6
2025-12-01 10:00:00.000000,Charrua220,34.8
2025-12-01 10:00:00.000000,Quillota220,32.2
2025-12-01 10:00:00.000000,PAzucar220,2.7
2025-12-01 10:00:00.000000,Atacama220_BP1,0.0
2025-12-01 10:00:00.000000,Cardones220,0.0
2025-12-01 10:00:00.000000,Crucero220,0.0
2025-12-01 10:00:00.000000,Tarapaca220,0.0
2025-12-01 11:00:00.000000,PMontt220,168.8
2025-12-01 11:00:00.000000,Charrua220,32.8
2025-12-01 11:00:00.000000,Quillota220,30.6
2025-12-01 11:00:00.000000,PAzucar220,2.3
2025-12-01 11:00:00.000000,Atacama220_BP1,0.0
2025-12-01 11:00:00.000000,Cardones220,0.0
2025-12-01 11:00:00.000000,Crucero220,0.0
2025-12-01 11:00:00.000000,Tarapaca220,0.0
2025-12-01 12:00:00.000000,PMontt220,169.2
2025-12-01 12:00:00.000000,Charrua220,32.3
2025-12-01 12:00:00.000000,Quillota220,31.7
2025-12-01 12:00:00.000000,PAzucar220,0.4
2025-12-01 12:00:00.000000,Atacama220_BP1,0.0
2025-12-01 12:00:00.000000,Cardones220,0.0
2025-12-01 12:00:00.000000,Crucero220,0.0
2025-12-01 12:00:00.000000,Tarapaca220,0.0
2025-12-01 13:00:00.000000,PMontt220,169.1
2025-12-01 13:00:00.000000,Quillota220,32.3
2025-12-01 13:00:00.000000,Charrua220,32.1
2025-12-01 13:00:00.000000,Atacama220_BP1,0.0
2025-12-01 13:00:00.000000,Cardones220,0.0
2025-12-01 13:00:00.000000,Crucero220,0.0
2025-12-01 13:00:00.000000,PAzucar220,0.0
2025-12-01 13:00:00.000000,Tarapaca220,0.0
2025-12-01 14:00:00.000000,PMontt220,169.1
2025-12-01 14:00:00.000000,Quillota220,32.3
2025-12-01 14:00:00.000000,Charrua220,32.2
2025-12-01 14:00:00.000000,Atacama220_BP1,0.0
2025-12-01 14:00:00.000000,Cardones220,0.0
2025-12-01 14:00:00.000000,Crucero220,0.0
2025-12-01 14:00:00.000000,PAzucar220,0.0
2025-12-01 14:00:00.000000,Tarapaca220,0.0
2025-12-01 15:00:00.000000,PMontt220,168.7
2025-12-01 15:00:00.000000,Quillota220,34.3
2025-12-01 15:00:00.000000,Charrua220,34.0
2025-12-01 15:00:00.000000,Atacama220_BP1,0.0
2025-12-01 15:00:00.000000,Cardones220,0.0
2025-12-01 15:00:00.000000,Crucero220,0.0
2025-12-01 15:00:00.000000,PAzucar220,0.0
2025-12-01 15:00:00.000000,Tarapaca220,0.0
2025-12-01 16:00:00.000000,PMontt220,167.7
2025-12-01 16:00:00.000000,Quillota220,32.3
2025-12-01 16:00:00.000000,Charrua220,32.1
2025-12-01 16:00:00.000000,Atacama220_BP1,0.0
2025-12-01 16:00:00.000000,Cardones220,0.0
2025-12-01 16:00:00.000000,Crucero220,0.0
2025-12-01 16:00:00.000000,PAzucar220,0.0
2025-12-01 16:00:00.000000,Tarapaca220,0.0
2025-12-01 17:00:00.000000,PMontt220,172.5
2025-12-01 17:00:00.000000,Quillota220,32.3
2025-12-01 17:00:00.000000,Charrua220,32.0
2025-12-01 17:00:00.000000,Atacama220_BP1,0.0
2025-12-01 17:00:00.000000,Cardones220,0.0
2025-12-01 17:00:00.000000,Crucero220,0.0
2025-12-01 17:00:00.000000,PAzucar220,0.0
