Fecha Hora,Barra,Costo Marginal [USD/MWh]
2025-10-19 00:00:00.000000,Tarapaca220,73.1
2025-10-19 00:00:00.000000,Atacama220_BP1,70.5
2025-10-19 00:00:00.000000,Crucero220,69.9
2025-10-19 00:00:00.000000,Cardones220,67.8
2025-10-19 00:00:00.000000,PAzucar220,66.5
2025-10-19 00:00:00.000000,Quillota220,65.6
2025-10-19 00:00:00.000000,Charrua220,60.5
2025-10-19 00:00:00.000000,PMontt220,58.0
2025-10-19 01:00:00.000000,Tarapaca220,73.5
2025-10-19 01:00:00.000000,Atacama220_BP1,70.8
2025-10-19 01:00:00.000000,Crucero220,70.2
2025-10-19 01:00:00.000000,Cardones220,67.6
2025-10-19 01:00:00.000000,PAzucar220,65.8
2025-10-19 01:00:00.000000,Quillota220,64.4
2025-10-19 01:00:00.000000,Charrua220,59.3
2025-10-19 01:00:00.000000,PMontt220,55.5
2025-10-19 02:00:00.000000,Tarapaca220,73.7
2025-10-19 02:00:00.000000,Atacama220_BP1,71.1
2025-10-19 02:00:00.000000,Crucero220,70.5
2025-10-19 02:00:00.000000,Cardones220,67.8
2025-10-19 02:00:00.000000,PAzucar220,65.9
2025-10-19 02:00:00.000000,Quillota220,64.4
2025-10-19 02:00:00.000000,Charrua220,59.2
2025-10-19 02:00:00.000000,PMontt220,54.9
2025-10-19 03:00:00.000000,Tarapaca220,70.6
2025-10-19 03:00:00.000000,Atacama220_BP1,67.6
2025-10-19 03:00:00.000000,Crucero220,67.1
2025-10-19 03:00:00.000000,Cardones220,64.6
2025-10-19 03:00:00.000000,PAzucar220,62.8
2025-10-19 03:00:00.000000,Quillota220,61.3
2025-10-19 03:00:00.000000,Charrua220,55.4
2025-10-19 03:00:00.000000,PMontt220,50.9
2025-10-19 04:00:00.000000,Tarapaca220,67.7
2025-10-19 04:00:00.000000,Atacama220_BP1,64.9
2025-10-19 04:00:00.000000,Crucero220,64.4
2025-10-19 04:00:00.000000,Cardones220,62.2
2025-10-19 04:00:00.000000,PAzucar220,60.6
2025-10-19 04:00:00.000000,Quillota220,59.4
2025-10-19 04:00:00.000000,Charrua220,54.9
2025-10-19 04:00:00.000000,PMontt220,50.3
2025-10-19 05:00:00.000000,Tarapaca220,66.5
2025-10-19 05:00:00.000000,Atacama220_BP1,63.8
2025-10-19 05:00:00.000000,Crucero220,63.2
2025-10-19 05:00:00.000000,Cardones220,61.2
2025-10-19 05:00:00.000000,PAzucar220,59.7
2025-10-19 05:00:00.000000,Quillota220,58.6
2025-10-19 05:00:00.000000,Charrua220,54.3
2025-10-19 05:00:00.000000,PMontt220,49.4
2025-10-19 06:00:00.000000,Tarapaca220,61.8
2025-10-19 06:00:00.000000,Atacama220_BP1,59.3
2025-10-19 06:00:00.000000,Crucero220,58.8
2025-10-19 06:00:00.000000,Cardones220,56.9
