target_hour,threshold,precision,recall,f1,auc,zero_rate,sample_count
0,0.35860995541086693,0.36518144235186034,0.6134259259259259,0.4578174488914483,0.7946718951538604,0.14954996538195245,8666
1,0.36287358023923233,0.4711912336514669,0.7120726495726496,0.5671133801318868,0.8152321901677951,0.2160166166628202,8666
2,0.39599374012630206,0.569485294117647,0.7015398550724637,0.6286525974025974,0.8385207679723161,0.2547888299099931,8666
3,0.40433443636483263,0.6504149377593361,0.7464285714285714,0.6951219512195121,0.8735907081131618,0.29079159935379645,8666
4,0.3951626882895816,0.6423267326732673,0.7863636363636364,0.7070844686648501,0.8737401814359995,0.3046388183706439,8666
5,0.39408158187567266,0.6336088154269972,0.7912844036697247,0.7037225905150434,0.8696990231758789,0.3018693745672744,8666
6,0.38485107443238115,0.6292335115864528,0.8325471698113207,0.716751269035533,0.8858616285424873,0.2935610431571659,8666
7,0.425331008683193,0.5793441387108933,0.7361111111111112,0.6483864163678549,0.8669695236880393,0.2409416108931456,8666
8,0.4282154223783247,0.5305985205110961,0.7921686746987951,0.6355215465163109,0.8734421879908005,0.22986383567966767,8666
9,0.4442625731870925,0.734685343926406,0.8352745424292846,0.7817575083426029,0.8535343517273537,0.48546042003231016,8666
10,0.4182916142193578,0.8176895306859205,0.8889324960753532,0.8518239939827003,0.8951433870251397,0.5880452342487884,8666
11,0.4415029342046086,0.774375503626108,0.8547920836112964,0.8125990910051791,0.8848587686159259,0.5189245326563582,8666
12,0.43455674798077654,0.7557424118129614,0.870335380255078,0.8090010976948409,0.8908423983942948,0.48857604431110085,8666
13,0.4500367297684881,0.7641797556719022,0.8512758201701094,0.8053799287274399,0.8936956160143191,0.4748442187860605,8666
14,0.45281698161606093,0.7737274949988886,0.8607814045499506,0.8149362050801826,0.9048192727252495,0.46665128086775903,8666
15,0.4173854256037032,0.7605236656596174,0.9014084507042254,0.8249945379069259,0.9080325301814484,0.48338333717978305,8666
16,0.42780202613625307,0.776379274176631,0.8832935560859189,0.8263927654348554,0.9119234698556715,0.4834987306715901,8666
17,0.46734297661912566,0.7652196249678911,0.8186314921681781,0.7910249601699416,0.9028159726430285,0.4199169166858989,8666
18,0.41637097338015144,0.7253871681415929,0.8156094527363185,0.7678571428571429,0.8975527751152494,0.37110546965151164,8666
19,0.3863118596113663,0.6708528037383178,0.7844945355191257,0.7232367758186398,0.8697179502197029,0.3378721440110778,8666
20,0.3527694943529317,0.39372822299651566,0.560515873015873,0.4625460499386001,0.8319179134176523,0.11631663974151858,8666
21,0.34610533335011795,0.36401326699834163,0.5542929292929293,0.4394394394394394,0.839728726174624,0.09139164551119316,8666
22,0.35270976082664596,0.3687600644122383,0.5452380952380952,0.4399615754082613,0.8197364097696324,0.09693053311793215,8666
23,0.3721955593602242,0.3940774487471526,0.502906976744186,0.44189016602809705,0.7957218624147785,0.11908608354488807,8666
